@relation winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
6.4, 0.31, 0.38, 2.9, 0.038, 19.0, 102.0, 0.9912, 3.17, 0.35, 11.0, 7
6.6, 0.27, 0.41, 1.3, 0.052, 16.0, 142.0, 0.9951, 3.42, 0.47, 10.0, 6
7.2, 0.32, 0.36, 2.0, 0.033, 37.0, 114.0, 0.9906, 3.1, 0.71, 12.3, 7
7.3, 0.28, 0.43, 1.7, 0.08, 21.0, 123.0, 0.9905, 3.19, 0.42, 12.8, 5
6.8, 0.22, 0.24, 4.9, 0.092, 30.0, 123.0, 0.9951, 3.03, 0.46, 8.6, 6
6.8, 0.25, 0.31, 13.3, 0.05, 69.0, 202.0, 0.9972, 3.22, 0.48, 9.7, 6
6.1, 0.27, 0.43, 7.5, 0.049, 65.0, 243.0, 0.9957, 3.12, 0.47, 9.0, 5
5.9, 0.36, 0.04, 5.7, 0.046, 21.0, 87.0, 0.9934, 3.22, 0.51, 10.2, 5
7.1, 0.37, 0.67, 10.5, 0.045, 49.0, 155.0, 0.9975, 3.16, 0.44, 8.7, 5
6.8, 0.19, 0.36, 1.9, 0.035, 30.0, 96.0, 0.9917, 3.15, 0.54, 10.8, 7
5.6, 0.16, 0.27, 1.4, 0.044, 53.0, 168.0, 0.9918, 3.28, 0.37, 10.1, 6
7.9, 0.22, 0.38, 8.0, 0.043, 46.0, 152.0, 0.9934, 3.12, 0.32, 11.5, 7
6.9, 0.25, 0.3, 4.1, 0.054, 23.0, 116.0, 0.994, 2.99, 0.38, 9.4, 6
6.6, 0.28, 0.28, 8.5, 0.052, 55.0, 211.0, 0.9962, 3.09, 0.55, 8.9, 6
10.2, 0.44, 0.88, 6.2, 0.049, 20.0, 124.0, 0.9968, 2.99, 0.51, 9.9, 4
