@relation winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
7.0, 0.27, 0.36, 20.7, 0.045, 45.0, 170.0, 1.001, 3.0, 0.45, 8.8, 6
6.2, 0.32, 0.16, 7.0, 0.045, 30.0, 136.0, 0.9949, 3.18, 0.47, 9.6, 6
6.3, 0.3, 0.34, 1.6, 0.049, 14.0, 132.0, 0.994, 3.3, 0.49, 9.5, 6
8.3, 0.42, 0.62, 19.25, 0.04, 41.0, 172.0, 1.0002, 2.98, 0.67, 9.7, 5
6.9, 0.24, 0.35, 1.0, 0.052, 35.0, 146.0, 0.993, 3.45, 0.44, 10.0, 6
7.3, 0.24, 0.39, 17.95, 0.057, 45.0, 149.0, 0.9999, 3.21, 0.36, 8.6, 5
6.2, 0.46, 0.25, 4.4, 0.066, 62.0, 207.0, 0.9939, 3.25, 0.52, 9.8, 5
6.2, 0.16, 0.33, 1.1, 0.057, 21.0, 82.0, 0.991, 3.32, 0.46, 10.9, 7
6.7, 0.23, 0.31, 2.1, 0.046, 30.0, 96.0, 0.9926, 3.33, 0.64, 10.7, 8
7.1, 0.18, 0.36, 1.4, 0.043, 31.0, 87.0, 0.9898, 3.26, 0.37, 12.7, 7
7.1, 0.12, 0.32, 9.6, 0.054, 64.0, 162.0, 0.9962, 3.4, 0.41, 9.4, 5
7.4, 0.25, 0.37, 13.5, 0.06, 52.0, 192.0, 0.9975, 3.0, 0.44, 9.1, 5
7.3, 0.13, 0.32, 14.4, 0.051, 34.0, 109.0, 0.9974, 3.2, 0.35, 9.2, 6
