@relation winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
6.3, 0.48, 0.04, 1.1, 0.046, 30.0, 99.0, 0.9928, 3.24, 0.36, 9.6, 6
6.5, 0.31, 0.14, 7.5, 0.044, 34.0, 133.0, 0.9955, 3.22, 0.5, 9.5, 5
7.0, 0.28, 0.39, 8.7, 0.051, 32.0, 141.0, 0.9961, 3.38, 0.53, 10.5, 6
6.7, 0.23, 0.26, 1.4, 0.06, 33.0, 154.0, 0.9934, 3.24, 0.56, 9.5, 6
7.0, 0.31, 0.26, 7.4, 0.069, 28.0, 160.0, 0.9954, 3.13, 0.46, 9.8, 6
6.0, 0.19, 0.26, 12.4, 0.048, 50.0, 147.0, 0.9972, 3.3, 0.36, 8.9, 6
6.2, 0.35, 0.03, 1.2, 0.064, 29.0, 120.0, 0.9934, 3.22, 0.54, 9.1, 5
7.4, 0.24, 0.29, 10.1, 0.05, 21.0, 105.0, 0.9962, 3.13, 0.35, 9.5, 5
6.2, 0.27, 0.43, 7.8, 0.056, 48.0, 244.0, 0.9956, 3.1, 0.51, 9.0, 6
8.6, 0.23, 0.46, 1.0, 0.054, 9.0, 72.0, 0.9941, 2.95, 0.49, 9.1, 6
6.0, 0.21, 0.24, 12.1, 0.05, 55.0, 164.0, 0.997, 3.34, 0.39, 9.4, 5
6.9, 0.33, 0.28, 1.3, 0.051, 37.0, 187.0, 0.9927, 3.27, 0.6, 10.3, 5
6.7, 0.19, 0.36, 1.1, 0.026, 63.0, 143.0, 0.9912, 3.27, 0.48, 11.0, 6
