@relation winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
6.3, 0.3, 0.34, 1.6, 0.049, 14.0, 132.0, 0.994, 3.3, 0.49, 9.5, 6
6.2, 0.66, 0.48, 1.2, 0.029, 29.0, 75.0, 0.9892, 3.33, 0.39, 12.8, 8
6.8, 0.26, 0.42, 1.7, 0.049, 41.0, 122.0, 0.993, 3.47, 0.48, 10.5, 8
6.7, 0.24, 0.39, 2.9, 0.173, 63.0, 157.0, 0.9937, 3.1, 0.34, 9.4, 6
7.4, 0.18, 0.31, 1.4, 0.058, 38.0, 167.0, 0.9931, 3.16, 0.53, 10.0, 7
7.2, 0.21, 0.34, 11.9, 0.043, 37.0, 213.0, 0.9962, 3.09, 0.5, 9.6, 6
7.4, 0.2, 0.36, 1.2, 0.038, 44.0, 111.0, 0.9926, 3.36, 0.34, 9.9, 6
7.4, 0.24, 0.29, 10.1, 0.05, 21.0, 105.0, 0.9962, 3.13, 0.35, 9.5, 5
6.9, 0.24, 0.33, 1.7, 0.035, 47.0, 136.0, 0.99, 3.26, 0.4, 12.6, 7
7.5, 0.305, 0.4, 18.9, 0.059, 44.0, 170.0, 1.0, 2.99, 0.46, 9.0, 5
6.0, 0.31, 0.24, 3.3, 0.041, 25.0, 143.0, 0.9914, 3.31, 0.44, 11.3, 6
6.4, 0.13, 0.47, 1.6, 0.092, 40.0, 158.0, 0.9928, 3.21, 0.36, 9.8, 6
6.8, 0.27, 0.22, 8.1, 0.034, 55.0, 203.0, 0.9961, 3.19, 0.52, 8.9, 5
6.3, 0.31, 0.34, 2.2, 0.045, 20.0, 77.0, 0.9927, 3.3, 0.43, 10.2, 5
7.1, 0.37, 0.67, 10.5, 0.045, 49.0, 155.0, 0.9975, 3.16, 0.44, 8.7, 5
6.4, 0.595, 0.14, 5.2, 0.058, 15.0, 97.0, 0.9951, 3.38, 0.36, 9.0, 4
6.9, 0.25, 0.3, 4.1, 0.054, 23.0, 116.0, 0.994, 2.99, 0.38, 9.4, 6
6.1, 0.32, 0.24, 1.5, 0.036, 38.0, 124.0, 0.9898, 3.29, 0.42, 12.4, 7
7.5, 0.29, 0.31, 8.95, 0.055, 20.0, 151.0, 0.9968, 3.08, 0.54, 9.3, 5
7.6, 0.48, 0.37, 0.8, 0.037, 4.0, 100.0, 0.9902, 3.03, 0.39, 11.4, 4
7.2, 0.32, 0.47, 5.1, 0.044, 19.0, 65.0, 0.991, 3.03, 0.41, 12.6, 4
6.8, 0.28, 0.36, 8.0, 0.045, 28.0, 123.0, 0.9928, 3.02, 0.37, 11.4, 6
5.6, 0.245, 0.25, 9.7, 0.032, 12.0, 68.0, 0.994, 3.31, 0.34, 10.5, 5
7.5, 0.27, 0.36, 7.0, 0.036, 45.0, 164.0, 0.9939, 3.03, 0.33, 11.0, 5
5.7, 0.28, 0.24, 17.5, 0.044, 60.0, 167.0, 0.9989, 3.31, 0.44, 9.4, 5
7.2, 0.23, 0.38, 14.3, 0.058, 55.0, 194.0, 0.9979, 3.09, 0.44, 9.0, 6
5.8, 0.2, 0.27, 1.4, 0.031, 12.0, 77.0, 0.9905, 3.25, 0.36, 10.9, 7
5.6, 0.19, 0.26, 1.4, 0.03, 12.0, 76.0, 0.9905, 3.25, 0.37, 10.9, 7
5.3, 0.585, 0.07, 7.1, 0.044, 34.0, 145.0, 0.9945, 3.34, 0.57, 9.7, 6
7.0, 0.29, 0.54, 10.7, 0.046, 59.0, 234.0, 0.9966, 3.05, 0.61, 9.5, 5
6.6, 0.19, 0.41, 8.9, 0.046, 51.0, 169.0, 0.9954, 3.14, 0.57, 9.8, 6
6.2, 0.28, 0.22, 7.3, 0.041, 26.0, 157.0, 0.9957, 3.44, 0.64, 9.8, 7
8.3, 0.2, 0.35, 0.9, 0.05, 12.0, 74.0, 0.992, 3.13, 0.38, 10.5, 6
6.8, 0.28, 0.44, 9.3, 0.031, 35.0, 137.0, 0.9946, 3.16, 0.36, 10.4, 6
6.6, 0.18, 0.35, 1.5, 0.049, 49.0, 141.0, 0.9934, 3.43, 0.85, 10.2, 7
7.4, 0.2, 0.43, 7.8, 0.045, 27.0, 153.0, 0.9964, 3.19, 0.55, 9.0, 7
7.3, 0.33, 0.4, 6.85, 0.038, 32.0, 138.0, 0.992, 3.03, 0.3, 11.9, 7
7.2, 0.27, 0.27, 2.4, 0.048, 30.0, 149.0, 0.9936, 3.1, 0.51, 9.2, 6
6.8, 0.37, 0.51, 11.8, 0.044, 62.0, 163.0, 0.9976, 3.19, 0.44, 8.8, 5
6.8, 0.37, 0.51, 11.8, 0.044, 62.0, 163.0, 0.9976, 3.19, 0.44, 8.8, 5
6.3, 0.14, 0.39, 1.2, 0.044, 26.0, 116.0, 0.992, 3.26, 0.53, 10.3, 6
8.2, 0.28, 0.42, 1.8, 0.031, 30.0, 93.0, 0.9917, 3.09, 0.39, 11.4, 5
7.2, 0.25, 0.39, 18.95, 0.038, 42.0, 155.0, 0.9999, 2.97, 0.47, 9.0, 6
6.8, 0.26, 0.22, 7.7, 0.047, 57.0, 210.0, 0.9959, 3.1, 0.47, 9.0, 5
7.0, 0.21, 0.28, 8.7, 0.045, 37.0, 222.0, 0.9954, 3.25, 0.54, 10.4, 6
7.4, 0.155, 0.34, 2.3, 0.045, 73.5, 214.0, 0.9934, 3.18, 0.61, 9.9, 7
6.5, 0.41, 0.24, 14.0, 0.048, 24.0, 113.0, 0.9982, 3.44, 0.53, 9.8, 6
6.4, 0.41, 0.24, 14.0, 0.048, 24.0, 113.0, 0.9982, 3.44, 0.53, 9.8, 6
7.1, 0.21, 0.27, 8.6, 0.056, 26.0, 111.0, 0.9956, 2.95, 0.52, 9.5, 5
7.2, 0.39, 0.62, 11.0, 0.047, 66.0, 178.0, 0.9976, 3.16, 0.5, 8.7, 5
7.0, 0.28, 0.36, 1.0, 0.035, 8.0, 70.0, 0.9899, 3.09, 0.46, 12.1, 6
5.7, 0.44, 0.13, 7.0, 0.025, 28.0, 173.0, 0.9913, 3.33, 0.48, 12.5, 6
6.0, 0.24, 0.27, 1.9, 0.048, 40.0, 170.0, 0.9938, 3.64, 0.54, 10.0, 7
6.8, 0.18, 0.37, 1.6, 0.055, 47.0, 154.0, 0.9934, 3.08, 0.45, 9.1, 5
