@relation winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
8.1, 0.22, 0.43, 1.5, 0.044, 28.0, 129.0, 0.9938, 3.22, 0.45, 11.0, 6
8.1, 0.27, 0.41, 1.45, 0.033, 11.0, 63.0, 0.9908, 2.99, 0.56, 12.0, 5
7.9, 0.18, 0.37, 1.2, 0.04, 16.0, 75.0, 0.992, 3.18, 0.63, 10.8, 5
8.3, 0.14, 0.34, 1.1, 0.042, 7.0, 47.0, 0.9934, 3.47, 0.4, 10.2, 6
7.4, 0.25, 0.36, 2.05, 0.05, 31.0, 100.0, 0.992, 3.19, 0.44, 10.8, 6
6.6, 0.25, 0.29, 1.1, 0.068, 39.0, 124.0, 0.9914, 3.34, 0.58, 11.0, 7
6.4, 0.26, 0.24, 6.4, 0.04, 27.0, 124.0, 0.9903, 3.22, 0.49, 12.6, 7
8.6, 0.265, 0.36, 1.2, 0.034, 15.0, 80.0, 0.9913, 2.95, 0.36, 11.4, 7
7.4, 0.25, 0.37, 13.5, 0.06, 52.0, 192.0, 0.9975, 3.0, 0.44, 9.1, 5
7.1, 0.23, 0.35, 16.5, 0.04, 60.0, 171.0, 0.999, 3.16, 0.59, 9.1, 6
6.7, 0.41, 0.34, 9.2, 0.049, 29.0, 150.0, 0.9968, 3.22, 0.51, 9.1, 5
