@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
5.2, 0.32, 0.25, 1.8, 0.103, 13.0, 50.0, 0.9957, 3.38, 0.55, 9.2, 5
7.3, 0.45, 0.36, 5.9, 0.074, 12.0, 87.0, 0.9978, 3.33, 0.83, 10.5, 5
7.0, 0.735, 0.05, 2.0, 0.081, 13.0, 54.0, 0.9966, 3.39, 0.57, 9.8, 5
7.2, 0.725, 0.05, 4.65, 0.086, 4.0, 11.0, 0.9962, 3.41, 0.39, 10.9, 5
9.7, 0.32, 0.54, 2.5, 0.094, 28.0, 83.0, 0.9984, 3.28, 0.82, 9.6, 5
8.6, 0.49, 0.28, 1.9, 0.11, 20.0, 136.0, 0.9972, 2.93, 1.95, 9.9, 6
4.7, 0.6, 0.17, 2.3, 0.058, 17.0, 106.0, 0.9932, 3.85, 0.6, 12.9, 6
6.8, 0.775, 0.0, 3.0, 0.102, 8.0, 23.0, 0.9965, 3.45, 0.56, 10.7, 5
8.3, 0.54, 0.28, 1.9, 0.077, 11.0, 40.0, 0.9978, 3.39, 0.61, 10.0, 6
8.8, 0.55, 0.04, 2.2, 0.119, 14.0, 56.0, 0.9962, 3.21, 0.6, 10.9, 6
6.3, 0.39, 0.08, 1.7, 0.066, 3.0, 20.0, 0.9954, 3.34, 0.58, 9.4, 5
7.1, 0.43, 0.42, 5.5, 0.07, 29.0, 129.0, 0.9973, 3.42, 0.72, 10.5, 5
7.1, 0.43, 0.42, 5.5, 0.071, 28.0, 128.0, 0.9973, 3.42, 0.71, 10.5, 5
7.8, 0.53, 0.04, 1.7, 0.076, 17.0, 31.0, 0.9964, 3.33, 0.56, 10.0, 6
6.8, 0.64, 0.1, 2.1, 0.085, 18.0, 101.0, 0.9956, 3.34, 0.52, 10.2, 5
8.0, 0.42, 0.17, 2.0, 0.073, 6.0, 18.0, 0.9972, 3.29, 0.61, 9.2, 6
7.5, 0.52, 0.42, 2.3, 0.087, 8.0, 38.0, 0.9972, 3.58, 0.61, 10.5, 6
7.7, 0.705, 0.1, 2.6, 0.084, 9.0, 26.0, 0.9976, 3.39, 0.49, 9.7, 5
8.6, 0.645, 0.25, 2.0, 0.083, 8.0, 28.0, 0.99815, 3.28, 0.6, 10.0, 6
5.2, 0.48, 0.04, 1.6, 0.054, 19.0, 106.0, 0.9927, 3.54, 0.62, 12.2, 7
8.5, 0.37, 0.2, 2.8, 0.09, 18.0, 58.0, 0.998, 3.34, 0.7, 9.6, 6
8.9, 0.635, 0.37, 1.7, 0.263, 5.0, 62.0, 0.9971, 3.0, 1.09, 9.3, 5
7.7, 0.53, 0.06, 1.7, 0.074, 9.0, 39.0, 0.99615, 3.35, 0.48, 9.8, 6
6.6, 0.695, 0.0, 2.1, 0.075, 12.0, 56.0, 0.9968, 3.49, 0.67, 9.2, 5
10.9, 0.37, 0.58, 4.0, 0.071, 17.0, 65.0, 0.99935, 3.22, 0.78, 10.1, 5
7.9, 0.545, 0.06, 4.0, 0.087, 27.0, 61.0, 0.9965, 3.36, 0.67, 10.7, 6
8.7, 0.52, 0.09, 2.5, 0.091, 20.0, 49.0, 0.9976, 3.34, 0.86, 10.6, 7
7.2, 0.65, 0.02, 2.3, 0.094, 5.0, 31.0, 0.9993, 3.67, 0.8, 9.7, 5
9.6, 0.56, 0.23, 3.4, 0.102, 37.0, 92.0, 0.9996, 3.3, 0.65, 10.1, 5
9.6, 0.77, 0.12, 2.9, 0.082, 30.0, 74.0, 0.99865, 3.3, 0.64, 10.4, 6
10.0, 0.49, 0.2, 11.0, 0.071, 13.0, 50.0, 1.0015, 3.16, 0.69, 9.2, 6
10.2, 0.36, 0.64, 2.9, 0.122, 10.0, 41.0, 0.998, 3.23, 0.66, 12.5, 6
12.5, 0.28, 0.54, 2.3, 0.082, 12.0, 29.0, 0.9997, 3.11, 1.36, 9.8, 7
10.9, 0.39, 0.47, 1.8, 0.118, 6.0, 14.0, 0.9982, 3.3, 0.75, 9.8, 6
8.6, 0.45, 0.31, 2.6, 0.086, 21.0, 50.0, 0.9982, 3.37, 0.91, 9.9, 6
14.0, 0.41, 0.63, 3.8, 0.089, 6.0, 47.0, 1.0014, 3.01, 0.81, 10.8, 6
11.5, 0.54, 0.71, 4.4, 0.124, 6.0, 15.0, 0.9984, 3.01, 0.83, 11.8, 7
8.7, 0.765, 0.22, 2.3, 0.064, 9.0, 42.0, 0.9963, 3.1, 0.55, 9.4, 5
12.5, 0.46, 0.49, 4.5, 0.07, 26.0, 49.0, 0.9981, 3.05, 0.57, 9.6, 4
10.5, 0.24, 0.47, 2.1, 0.066, 6.0, 24.0, 0.9978, 3.15, 0.9, 11.0, 7
6.4, 0.67, 0.08, 2.1, 0.045, 19.0, 48.0, 0.9949, 3.49, 0.49, 11.4, 6
12.3, 0.39, 0.63, 2.3, 0.091, 6.0, 18.0, 1.0004, 3.16, 0.49, 9.5, 5
10.4, 0.41, 0.55, 3.2, 0.076, 22.0, 54.0, 0.9996, 3.15, 0.89, 9.9, 6
12.5, 0.38, 0.6, 2.6, 0.081, 31.0, 72.0, 0.9996, 3.1, 0.73, 10.5, 5
11.5, 0.315, 0.54, 2.1, 0.084, 5.0, 15.0, 0.9987, 2.98, 0.7, 9.2, 6
10.0, 0.29, 0.4, 2.9, 0.098, 10.0, 26.0, 1.0006, 3.48, 0.91, 9.7, 5
10.6, 0.36, 0.6, 2.2, 0.152, 7.0, 18.0, 0.9986, 3.04, 1.06, 9.4, 5
8.9, 0.4, 0.51, 2.6, 0.052, 13.0, 27.0, 0.995, 3.32, 0.9, 13.4, 7
8.7, 0.69, 0.31, 3.0, 0.086, 23.0, 81.0, 1.0002, 3.48, 0.74, 11.6, 6
10.7, 0.35, 0.53, 2.6, 0.07, 5.0, 16.0, 0.9972, 3.15, 0.65, 11.0, 8
8.7, 0.69, 0.31, 3.0, 0.086, 23.0, 81.0, 1.0002, 3.48, 0.74, 11.6, 6
10.4, 0.44, 0.73, 6.55, 0.074, 38.0, 76.0, 0.999, 3.17, 0.85, 12.0, 7
8.5, 0.655, 0.49, 6.1, 0.122, 34.0, 151.0, 1.001, 3.31, 1.14, 9.3, 5
9.3, 0.4, 0.49, 2.5, 0.085, 38.0, 142.0, 0.9978, 3.22, 0.55, 9.4, 5
7.0, 0.38, 0.49, 2.5, 0.097, 33.0, 85.0, 0.9962, 3.39, 0.77, 11.4, 6
12.9, 0.35, 0.49, 5.8, 0.066, 5.0, 35.0, 1.0014, 3.2, 0.66, 12.0, 7
15.5, 0.645, 0.49, 4.2, 0.095, 10.0, 23.0, 1.00315, 2.92, 0.74, 11.1, 5
13.0, 0.47, 0.49, 4.3, 0.085, 6.0, 47.0, 1.0021, 3.3, 0.68, 12.7, 6
12.3, 0.5, 0.49, 2.2, 0.089, 5.0, 14.0, 1.0002, 3.19, 0.44, 9.6, 5
12.4, 0.4, 0.51, 2.0, 0.059, 6.0, 24.0, 0.9994, 3.04, 0.6, 9.3, 6
9.6, 0.6, 0.5, 2.3, 0.079, 28.0, 71.0, 0.9997, 3.5, 0.57, 9.7, 5
8.8, 0.6, 0.29, 2.2, 0.098, 5.0, 15.0, 0.9988, 3.36, 0.49, 9.1, 5
7.7, 0.915, 0.12, 2.2, 0.143, 7.0, 23.0, 0.9964, 3.35, 0.65, 10.2, 7
9.9, 0.54, 0.45, 2.3, 0.071, 16.0, 40.0, 0.9991, 3.39, 0.62, 9.4, 5
8.1, 0.38, 0.48, 1.8, 0.157, 5.0, 17.0, 0.9976, 3.3, 1.05, 9.4, 5
8.4, 0.56, 0.04, 2.0, 0.082, 10.0, 22.0, 0.9976, 3.22, 0.44, 9.6, 5
8.1, 0.72, 0.09, 2.8, 0.084, 18.0, 49.0, 0.9994, 3.43, 0.72, 11.1, 6
6.5, 0.615, 0.0, 1.9, 0.065, 9.0, 18.0, 0.9972, 3.46, 0.65, 9.2, 5
8.3, 0.65, 0.1, 2.9, 0.089, 17.0, 40.0, 0.99803, 3.29, 0.55, 9.5, 5
8.1, 0.87, 0.0, 2.2, 0.084, 10.0, 31.0, 0.99656, 3.25, 0.5, 9.8, 5
9.0, 0.58, 0.25, 2.8, 0.075, 9.0, 104.0, 0.99779, 3.23, 0.57, 9.7, 5
9.1, 0.68, 0.11, 2.8, 0.093, 11.0, 44.0, 0.99888, 3.31, 0.55, 9.5, 6
7.9, 0.4, 0.29, 1.8, 0.157, 1.0, 44.0, 0.9973, 3.3, 0.92, 9.5, 6
6.9, 0.765, 0.18, 2.4, 0.243, 5.5, 48.0, 0.99612, 3.4, 0.6, 10.3, 6
9.0, 0.82, 0.05, 2.4, 0.081, 26.0, 96.0, 0.99814, 3.36, 0.53, 10.0, 5
8.7, 0.46, 0.31, 2.5, 0.126, 24.0, 64.0, 0.99746, 3.1, 0.74, 9.6, 5
8.6, 0.55, 0.09, 3.3, 0.068, 8.0, 17.0, 0.99735, 3.23, 0.44, 10.0, 5
5.1, 0.585, 0.0, 1.7, 0.044, 14.0, 86.0, 0.99264, 3.56, 0.94, 12.9, 7
7.4, 0.53, 0.12, 1.9, 0.165, 4.0, 12.0, 0.99702, 3.26, 0.86, 9.2, 5
9.8, 0.51, 0.19, 3.2, 0.081, 8.0, 30.0, 0.9984, 3.23, 0.58, 10.5, 6
10.8, 0.29, 0.42, 1.6, 0.084, 19.0, 27.0, 0.99545, 3.28, 0.73, 11.9, 6
7.1, 0.48, 0.28, 2.8, 0.068, 6.0, 16.0, 0.99682, 3.24, 0.53, 10.3, 5
7.1, 0.46, 0.14, 2.8, 0.076, 15.0, 37.0, 0.99624, 3.36, 0.49, 10.7, 5
6.6, 0.66, 0.0, 3.0, 0.115, 21.0, 31.0, 0.99629, 3.45, 0.63, 10.3, 5
7.2, 0.62, 0.06, 2.7, 0.077, 15.0, 85.0, 0.99746, 3.51, 0.54, 9.5, 5
9.2, 0.56, 0.18, 1.6, 0.078, 10.0, 21.0, 0.99576, 3.15, 0.49, 9.9, 5
7.2, 0.63, 0.03, 2.2, 0.08, 17.0, 88.0, 0.99745, 3.53, 0.58, 9.8, 6
8.4, 0.67, 0.19, 2.2, 0.093, 11.0, 75.0, 0.99736, 3.2, 0.59, 9.2, 4
8.6, 0.47, 0.27, 2.3, 0.055, 14.0, 28.0, 0.99516, 3.18, 0.8, 11.2, 5
7.6, 0.4, 0.29, 1.9, 0.078, 29.0, 66.0, 0.9971, 3.45, 0.59, 9.5, 6
8.8, 0.3, 0.38, 2.3, 0.06, 19.0, 72.0, 0.99543, 3.39, 0.72, 11.8, 6
7.2, 0.38, 0.38, 2.8, 0.068, 23.0, 42.0, 0.99356, 3.34, 0.72, 12.9, 7
8.3, 0.28, 0.48, 2.1, 0.093, 6.0, 12.0, 0.99408, 3.26, 0.62, 12.4, 7
8.5, 0.47, 0.27, 1.9, 0.058, 18.0, 38.0, 0.99518, 3.16, 0.85, 11.1, 6
8.5, 0.34, 0.44, 1.7, 0.079, 6.0, 12.0, 0.99605, 3.52, 0.63, 10.7, 5
9.5, 0.86, 0.26, 1.9, 0.079, 13.0, 28.0, 0.99712, 3.25, 0.62, 10.0, 5
9.1, 0.5, 0.3, 1.9, 0.065, 8.0, 17.0, 0.99774, 3.32, 0.71, 10.5, 6
6.4, 0.69, 0.0, 1.65, 0.055, 7.0, 12.0, 0.99162, 3.47, 0.53, 12.9, 6
9.1, 0.29, 0.33, 2.05, 0.063, 13.0, 27.0, 0.99516, 3.26, 0.84, 11.7, 7
6.8, 0.36, 0.32, 1.8, 0.067, 4.0, 8.0, 0.9928, 3.36, 0.55, 12.8, 7
7.7, 0.58, 0.01, 1.8, 0.088, 12.0, 18.0, 0.99568, 3.32, 0.56, 10.5, 7
6.9, 0.49, 0.19, 1.7, 0.079, 13.0, 26.0, 0.99547, 3.38, 0.64, 9.8, 6
6.4, 0.39, 0.33, 3.3, 0.046, 12.0, 53.0, 0.99294, 3.36, 0.62, 12.2, 6
6.8, 0.48, 0.08, 1.8, 0.074, 40.0, 64.0, 0.99529, 3.12, 0.49, 9.6, 5
8.0, 0.31, 0.45, 2.1, 0.216, 5.0, 16.0, 0.99358, 3.15, 0.81, 12.5, 7
10.0, 0.43, 0.33, 2.7, 0.095, 28.0, 89.0, 0.9984, 3.22, 0.68, 10.0, 5
10.4, 0.52, 0.45, 2.0, 0.08, 6.0, 13.0, 0.99774, 3.22, 0.76, 11.4, 6
6.1, 0.58, 0.23, 2.5, 0.044, 16.0, 70.0, 0.99352, 3.46, 0.65, 12.5, 6
8.2, 0.33, 0.39, 2.5, 0.074, 29.0, 48.0, 0.99528, 3.32, 0.88, 12.4, 7
6.5, 0.88, 0.03, 5.6, 0.079, 23.0, 47.0, 0.99572, 3.58, 0.5, 11.2, 4
6.8, 0.66, 0.07, 1.6, 0.07, 16.0, 61.0, 0.99572, 3.29, 0.6, 9.3, 5
6.4, 0.885, 0.0, 2.3, 0.166, 6.0, 12.0, 0.99551, 3.56, 0.51, 10.8, 5
6.2, 0.43, 0.22, 1.8, 0.078, 21.0, 56.0, 0.99633, 3.52, 0.6, 9.5, 6
7.7, 0.26, 0.26, 2.0, 0.052, 19.0, 77.0, 0.9951, 3.15, 0.79, 10.9, 6
9.2, 0.46, 0.23, 2.6, 0.091, 18.0, 77.0, 0.99922, 3.15, 0.51, 9.4, 5
7.5, 0.61, 0.2, 1.7, 0.076, 36.0, 60.0, 0.99494, 3.1, 0.4, 9.3, 5
7.4, 0.55, 0.19, 1.8, 0.082, 15.0, 34.0, 0.99655, 3.49, 0.68, 10.5, 5
6.1, 0.64, 0.02, 2.4, 0.069, 26.0, 46.0, 0.99358, 3.47, 0.45, 11.0, 5
7.0, 0.58, 0.28, 4.8, 0.085, 12.0, 69.0, 0.99633, 3.32, 0.7, 11.0, 6
6.8, 0.64, 0.0, 2.7, 0.123, 15.0, 33.0, 0.99538, 3.44, 0.63, 11.3, 6
7.8, 0.58, 0.13, 2.1, 0.102, 17.0, 36.0, 0.9944, 3.24, 0.53, 11.2, 6
