@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
7.5, 0.5, 0.36, 6.1, 0.071, 17.0, 102.0, 0.9978, 3.35, 0.8, 10.5, 5
8.1, 0.56, 0.28, 1.7, 0.368, 16.0, 56.0, 0.9968, 3.11, 1.28, 9.3, 5
7.4, 0.59, 0.08, 4.4, 0.086, 6.0, 29.0, 0.9974, 3.38, 0.5, 9.0, 4
7.6, 0.39, 0.31, 2.3, 0.082, 23.0, 71.0, 0.9982, 3.52, 0.65, 9.7, 5
6.3, 0.39, 0.16, 1.4, 0.08, 11.0, 23.0, 0.9955, 3.34, 0.56, 9.3, 5
7.8, 0.6, 0.14, 2.4, 0.086, 3.0, 15.0, 0.9975, 3.42, 0.6, 10.8, 6
7.5, 0.49, 0.2, 2.6, 0.332, 8.0, 14.0, 0.9968, 3.21, 0.9, 10.5, 6
8.8, 0.66, 0.26, 1.7, 0.074, 4.0, 23.0, 0.9971, 3.15, 0.74, 9.2, 5
6.8, 0.785, 0.0, 2.4, 0.104, 14.0, 30.0, 0.9966, 3.52, 0.55, 10.7, 6
6.7, 0.75, 0.12, 2.0, 0.086, 12.0, 80.0, 0.9958, 3.38, 0.52, 10.1, 5
6.2, 0.45, 0.2, 1.6, 0.069, 3.0, 15.0, 0.9958, 3.41, 0.56, 9.2, 5
7.4, 0.5, 0.47, 2.0, 0.086, 21.0, 73.0, 0.997, 3.36, 0.57, 9.1, 5
7.0, 0.5, 0.25, 2.0, 0.07, 3.0, 22.0, 0.9963, 3.25, 0.63, 9.2, 5
8.1, 0.545, 0.18, 1.9, 0.08, 13.0, 35.0, 0.9972, 3.3, 0.59, 9.0, 6
8.1, 0.575, 0.22, 2.1, 0.077, 12.0, 65.0, 0.9967, 3.29, 0.51, 9.2, 5
7.0, 0.69, 0.08, 1.8, 0.097, 22.0, 89.0, 0.9959, 3.34, 0.54, 9.2, 6
8.0, 0.59, 0.16, 1.8, 0.065, 3.0, 16.0, 0.9962, 3.42, 0.92, 10.5, 7
6.6, 0.5, 0.01, 1.5, 0.06, 17.0, 26.0, 0.9952, 3.4, 0.58, 9.8, 6
7.1, 0.68, 0.0, 2.2, 0.073, 12.0, 22.0, 0.9969, 3.48, 0.5, 9.3, 5
7.6, 0.95, 0.03, 2.0, 0.09, 7.0, 20.0, 0.9959, 3.2, 0.56, 9.6, 5
8.9, 0.61, 0.49, 2.0, 0.27, 23.0, 110.0, 0.9972, 3.12, 1.02, 9.3, 5
11.5, 0.3, 0.6, 2.0, 0.067, 12.0, 27.0, 0.9981, 3.11, 0.97, 10.1, 6
7.8, 0.53, 0.33, 2.4, 0.08, 24.0, 144.0, 0.99655, 3.3, 0.6, 9.5, 5
8.9, 0.59, 0.5, 2.0, 0.337, 27.0, 81.0, 0.9964, 3.04, 1.61, 9.5, 6
6.9, 0.52, 0.25, 2.6, 0.081, 10.0, 37.0, 0.99685, 3.46, 0.5, 11.0, 5
8.2, 1.0, 0.09, 2.3, 0.065, 7.0, 37.0, 0.99685, 3.32, 0.55, 9.0, 6
9.4, 0.34, 0.37, 2.2, 0.075, 5.0, 13.0, 0.998, 3.22, 0.62, 9.2, 5
8.4, 0.715, 0.2, 2.4, 0.076, 10.0, 38.0, 0.99735, 3.31, 0.64, 9.4, 5
12.0, 0.45, 0.55, 2.0, 0.073, 25.0, 49.0, 0.9997, 3.1, 0.76, 10.3, 6
7.5, 0.4, 0.12, 3.0, 0.092, 29.0, 53.0, 0.9967, 3.37, 0.7, 10.3, 6
10.8, 0.5, 0.46, 2.5, 0.073, 5.0, 27.0, 1.0001, 3.05, 0.64, 9.5, 5
10.3, 0.41, 0.42, 2.4, 0.213, 6.0, 14.0, 0.9994, 3.19, 0.62, 9.5, 6
8.0, 0.58, 0.28, 3.2, 0.066, 21.0, 114.0, 0.9973, 3.22, 0.54, 9.4, 6
8.9, 0.43, 0.45, 1.9, 0.052, 6.0, 16.0, 0.9948, 3.35, 0.7, 12.5, 6
9.4, 0.27, 0.53, 2.4, 0.074, 6.0, 18.0, 0.9962, 3.2, 1.13, 12.0, 7
9.8, 0.44, 0.47, 2.5, 0.063, 9.0, 28.0, 0.9981, 3.24, 0.65, 10.8, 6
7.7, 0.96, 0.2, 2.0, 0.047, 15.0, 60.0, 0.9955, 3.36, 0.44, 10.9, 5
7.7, 0.96, 0.2, 2.0, 0.047, 15.0, 60.0, 0.9955, 3.36, 0.44, 10.9, 5
12.8, 0.84, 0.63, 2.4, 0.088, 13.0, 35.0, 0.9997, 3.1, 0.6, 10.4, 6
11.1, 0.45, 0.73, 3.2, 0.066, 6.0, 22.0, 0.9986, 3.17, 0.66, 11.2, 6
15.6, 0.685, 0.76, 3.7, 0.1, 6.0, 43.0, 1.0032, 2.95, 0.68, 11.2, 7
10.4, 0.33, 0.63, 2.8, 0.084, 5.0, 22.0, 0.9998, 3.26, 0.74, 11.2, 7
10.4, 0.33, 0.63, 2.8, 0.084, 5.0, 22.0, 0.9998, 3.26, 0.74, 11.2, 7
8.1, 0.66, 0.7, 2.2, 0.098, 25.0, 129.0, 0.9972, 3.08, 0.53, 9.0, 5
8.8, 0.46, 0.45, 2.6, 0.065, 7.0, 18.0, 0.9947, 3.32, 0.79, 14.0, 6
8.7, 0.82, 0.02, 1.2, 0.07, 36.0, 48.0, 0.9952, 3.2, 0.58, 9.8, 5
10.2, 0.67, 0.39, 1.9, 0.054, 6.0, 17.0, 0.9976, 3.17, 0.47, 10.0, 5
12.4, 0.42, 0.49, 4.6, 0.073, 19.0, 43.0, 0.9978, 3.02, 0.61, 9.5, 5
10.0, 0.59, 0.31, 2.2, 0.09, 26.0, 62.0, 0.9994, 3.18, 0.63, 10.2, 6
9.0, 0.53, 0.49, 1.9, 0.171, 6.0, 25.0, 0.9975, 3.27, 0.61, 9.4, 6
12.7, 0.6, 0.49, 2.8, 0.075, 5.0, 19.0, 0.9994, 3.14, 0.57, 11.4, 5
8.7, 0.7, 0.24, 2.5, 0.226, 5.0, 15.0, 0.9991, 3.32, 0.6, 9.0, 6
10.6, 0.31, 0.49, 2.2, 0.063, 18.0, 40.0, 0.9976, 3.14, 0.51, 9.8, 6
