@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
7.4, 0.7, 0.0, 1.9, 0.076, 11.0, 34.0, 0.9978, 3.51, 0.56, 9.4, 5
11.2, 0.28, 0.56, 1.9, 0.075, 17.0, 60.0, 0.998, 3.16, 0.58, 9.8, 6
7.9, 0.6, 0.06, 1.6, 0.069, 15.0, 59.0, 0.9964, 3.3, 0.46, 9.4, 5
6.7, 0.58, 0.08, 1.8, 0.097, 15.0, 65.0, 0.9959, 3.28, 0.54, 9.2, 5
7.8, 0.61, 0.29, 1.6, 0.114, 9.0, 29.0, 0.9974, 3.26, 1.56, 9.1, 5
6.9, 0.4, 0.14, 2.4, 0.085, 21.0, 40.0, 0.9968, 3.43, 0.63, 9.7, 6
7.1, 0.71, 0.0, 1.9, 0.08, 14.0, 35.0, 0.9972, 3.47, 0.55, 9.4, 5
8.7, 0.29, 0.52, 1.6, 0.113, 12.0, 37.0, 0.9969, 3.25, 0.58, 9.5, 5
8.6, 0.38, 0.36, 3.0, 0.081, 30.0, 119.0, 0.997, 3.2, 0.56, 9.4, 5
10.2, 0.42, 0.57, 3.4, 0.07, 4.0, 10.0, 0.9971, 3.04, 0.63, 9.6, 5
7.7, 0.67, 0.23, 2.1, 0.088, 17.0, 96.0, 0.9962, 3.32, 0.48, 9.5, 5
7.6, 0.9, 0.06, 2.5, 0.079, 5.0, 10.0, 0.9967, 3.39, 0.56, 9.8, 5
8.0, 0.33, 0.53, 2.5, 0.091, 18.0, 80.0, 0.9976, 3.37, 0.8, 9.6, 6
9.4, 0.4, 0.31, 2.2, 0.09, 13.0, 62.0, 0.9966, 3.07, 0.63, 10.5, 6
8.8, 0.55, 0.04, 2.2, 0.119, 14.0, 56.0, 0.9962, 3.21, 0.6, 10.9, 6
8.4, 0.745, 0.11, 1.9, 0.09, 16.0, 63.0, 0.9965, 3.19, 0.82, 9.6, 5
8.2, 0.4, 0.44, 2.8, 0.089, 11.0, 43.0, 0.9975, 3.53, 0.61, 10.5, 6
7.5, 0.6, 0.03, 1.8, 0.095, 25.0, 99.0, 0.995, 3.35, 0.54, 10.1, 5
7.3, 0.59, 0.26, 7.2, 0.07, 35.0, 121.0, 0.9981, 3.37, 0.49, 9.4, 5
7.9, 0.885, 0.03, 1.8, 0.058, 4.0, 8.0, 0.9972, 3.36, 0.33, 9.1, 4
8.8, 0.61, 0.14, 2.4, 0.067, 10.0, 42.0, 0.9969, 3.19, 0.59, 9.5, 5
8.8, 0.61, 0.14, 2.4, 0.067, 10.0, 42.0, 0.9969, 3.19, 0.59, 9.5, 5
7.3, 0.58, 0.3, 2.4, 0.074, 15.0, 55.0, 0.9968, 3.46, 0.59, 10.2, 5
7.0, 0.43, 0.36, 1.6, 0.089, 14.0, 37.0, 0.99615, 3.34, 0.56, 9.2, 6
8.1, 0.725, 0.22, 2.2, 0.072, 11.0, 41.0, 0.9967, 3.36, 0.55, 9.1, 5
7.4, 0.53, 0.26, 2.0, 0.101, 16.0, 72.0, 0.9957, 3.15, 0.57, 9.4, 5
7.2, 0.63, 0.0, 1.9, 0.097, 14.0, 38.0, 0.99675, 3.37, 0.58, 9.0, 6
8.2, 1.0, 0.09, 2.3, 0.065, 7.0, 37.0, 0.99685, 3.32, 0.55, 9.0, 6
12.0, 0.38, 0.56, 2.1, 0.093, 6.0, 24.0, 0.99925, 3.14, 0.71, 10.9, 6
15.0, 0.21, 0.44, 2.2, 0.075, 10.0, 24.0, 1.00005, 3.07, 0.84, 9.2, 7
7.3, 0.66, 0.0, 2.0, 0.084, 6.0, 23.0, 0.9983, 3.61, 0.96, 9.9, 6
8.2, 0.6, 0.17, 2.3, 0.072, 11.0, 73.0, 0.9963, 3.2, 0.45, 9.3, 5
7.3, 0.66, 0.0, 2.0, 0.084, 6.0, 23.0, 0.9983, 3.61, 0.96, 9.9, 6
10.8, 0.32, 0.44, 1.6, 0.063, 16.0, 37.0, 0.9985, 3.22, 0.78, 10.0, 6
8.0, 0.57, 0.23, 3.2, 0.073, 17.0, 119.0, 0.99675, 3.26, 0.57, 9.3, 5
11.8, 0.26, 0.52, 1.8, 0.071, 6.0, 10.0, 0.9968, 3.2, 0.72, 10.2, 7
13.3, 0.34, 0.52, 3.2, 0.094, 17.0, 53.0, 1.0014, 3.05, 0.81, 9.5, 6
8.4, 0.65, 0.6, 2.1, 0.112, 12.0, 90.0, 0.9973, 3.2, 0.52, 9.2, 5
11.9, 0.695, 0.53, 3.4, 0.128, 7.0, 21.0, 0.9992, 3.17, 0.84, 12.2, 7
9.1, 0.785, 0.0, 2.6, 0.093, 11.0, 28.0, 0.9994, 3.36, 0.86, 9.4, 6
11.9, 0.58, 0.66, 2.5, 0.072, 6.0, 37.0, 0.9992, 3.05, 0.56, 10.0, 5
6.9, 0.765, 0.02, 2.3, 0.063, 35.0, 63.0, 0.9975, 3.57, 0.78, 9.9, 5
9.4, 0.27, 0.53, 2.4, 0.074, 6.0, 18.0, 0.9962, 3.2, 1.13, 12.0, 7
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, 6
7.7, 0.51, 0.28, 2.1, 0.087, 23.0, 54.0, 0.998, 3.42, 0.74, 9.2, 5
