@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
7.8, 0.58, 0.02, 2.0, 0.073, 9.0, 18.0, 0.9968, 3.36, 0.57, 9.5, 7
8.5, 0.28, 0.56, 1.8, 0.092, 35.0, 103.0, 0.9969, 3.3, 0.75, 10.5, 7
7.9, 0.32, 0.51, 1.8, 0.341, 17.0, 56.0, 0.9969, 3.04, 1.08, 9.2, 6
7.8, 0.645, 0.0, 2.0, 0.082, 8.0, 16.0, 0.9964, 3.38, 0.59, 9.8, 6
8.3, 0.655, 0.12, 2.3, 0.083, 15.0, 113.0, 0.9966, 3.17, 0.66, 9.8, 5
6.9, 0.605, 0.12, 10.7, 0.073, 40.0, 83.0, 0.9993, 3.45, 0.52, 9.4, 6
7.5, 0.63, 0.12, 5.1, 0.111, 50.0, 110.0, 0.9983, 3.26, 0.77, 9.4, 5
7.9, 0.52, 0.26, 1.9, 0.079, 42.0, 140.0, 0.9964, 3.23, 0.54, 9.5, 5
7.8, 0.41, 0.68, 1.7, 0.467, 18.0, 69.0, 0.9973, 3.08, 1.31, 9.3, 5
6.2, 0.63, 0.31, 1.7, 0.088, 15.0, 64.0, 0.9969, 3.46, 0.79, 9.3, 5
8.1, 0.785, 0.52, 2.0, 0.122, 37.0, 153.0, 0.9969, 3.21, 0.69, 9.3, 5
7.8, 0.56, 0.12, 2.0, 0.082, 7.0, 28.0, 0.997, 3.37, 0.5, 9.4, 6
8.0, 0.745, 0.56, 2.0, 0.118, 30.0, 134.0, 0.9968, 3.24, 0.66, 9.4, 5
7.9, 1.04, 0.05, 2.2, 0.084, 13.0, 29.0, 0.9959, 3.22, 0.55, 9.9, 6
5.2, 0.34, 0.0, 1.8, 0.05, 27.0, 63.0, 0.9916, 3.68, 0.79, 14.0, 6
8.1, 0.67, 0.55, 1.8, 0.117, 32.0, 141.0, 0.9968, 3.17, 0.62, 9.4, 5
7.5, 0.6, 0.03, 1.8, 0.095, 25.0, 99.0, 0.995, 3.35, 0.54, 10.1, 5
7.1, 0.43, 0.42, 5.5, 0.071, 28.0, 128.0, 0.9973, 3.42, 0.71, 10.5, 5
6.8, 0.63, 0.07, 2.1, 0.089, 11.0, 44.0, 0.9953, 3.47, 0.55, 10.4, 6
7.3, 0.38, 0.21, 2.0, 0.08, 7.0, 35.0, 0.9961, 3.33, 0.47, 9.5, 5
7.2, 0.73, 0.02, 2.5, 0.076, 16.0, 42.0, 0.9972, 3.44, 0.52, 9.3, 5
6.7, 0.62, 0.21, 1.9, 0.079, 8.0, 62.0, 0.997, 3.52, 0.58, 9.3, 6
7.4, 0.39, 0.48, 2.0, 0.082, 14.0, 67.0, 0.9972, 3.34, 0.55, 9.2, 5
7.9, 0.49, 0.32, 1.9, 0.082, 17.0, 144.0, 0.9968, 3.2, 0.55, 9.5, 5
6.4, 0.37, 0.25, 1.9, 0.074, 21.0, 49.0, 0.9974, 3.57, 0.62, 9.8, 6
12.8, 0.3, 0.74, 2.6, 0.095, 9.0, 28.0, 0.9994, 3.2, 0.77, 10.8, 7
7.8, 0.57, 0.31, 1.8, 0.069, 26.0, 120.0, 0.99625, 3.29, 0.53, 9.3, 5
9.7, 0.53, 0.6, 2.0, 0.039, 5.0, 19.0, 0.99585, 3.3, 0.86, 12.4, 6
8.2, 0.57, 0.26, 2.2, 0.06, 28.0, 65.0, 0.9959, 3.3, 0.43, 10.1, 5
7.5, 0.49, 0.19, 1.9, 0.076, 10.0, 44.0, 0.9957, 3.39, 0.54, 9.7, 5
7.1, 0.68, 0.07, 1.9, 0.075, 16.0, 51.0, 0.99685, 3.38, 0.52, 9.5, 5
7.7, 0.775, 0.42, 1.9, 0.092, 8.0, 86.0, 0.9959, 3.23, 0.59, 9.5, 5
7.9, 0.33, 0.23, 1.7, 0.077, 18.0, 45.0, 0.99625, 3.29, 0.65, 9.3, 5
7.5, 0.65, 0.18, 7.0, 0.088, 27.0, 94.0, 0.99915, 3.38, 0.77, 9.4, 5
11.0, 0.2, 0.48, 2.0, 0.343, 6.0, 18.0, 0.9979, 3.3, 0.71, 10.5, 5
6.9, 0.67, 0.06, 2.1, 0.08, 8.0, 33.0, 0.99845, 3.68, 0.71, 9.6, 5
10.3, 0.53, 0.48, 2.5, 0.063, 6.0, 25.0, 0.9998, 3.12, 0.59, 9.3, 6
7.4, 0.29, 0.38, 1.7, 0.062, 9.0, 30.0, 0.9968, 3.41, 0.53, 9.5, 6
9.6, 0.77, 0.12, 2.9, 0.082, 30.0, 74.0, 0.99865, 3.3, 0.64, 10.4, 6
7.9, 0.65, 0.01, 2.5, 0.078, 17.0, 38.0, 0.9963, 3.34, 0.74, 11.7, 7
11.9, 0.43, 0.66, 3.1, 0.109, 10.0, 23.0, 1.0, 3.15, 0.85, 10.4, 7
12.6, 0.38, 0.66, 2.6, 0.088, 10.0, 41.0, 1.001, 3.17, 0.68, 9.8, 6
11.5, 0.45, 0.5, 3.0, 0.078, 19.0, 47.0, 1.0003, 3.26, 1.11, 11.0, 6
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, 6
12.7, 0.6, 0.65, 2.3, 0.063, 6.0, 25.0, 0.9997, 3.03, 0.57, 9.9, 5
7.0, 0.58, 0.12, 1.9, 0.091, 34.0, 124.0, 0.9956, 3.44, 0.48, 10.5, 5
10.5, 0.24, 0.47, 2.1, 0.066, 6.0, 24.0, 0.9978, 3.15, 0.9, 11.0, 7
10.4, 0.41, 0.55, 3.2, 0.076, 22.0, 54.0, 0.9996, 3.15, 0.89, 9.9, 6
11.3, 0.62, 0.67, 5.2, 0.086, 6.0, 19.0, 0.9988, 3.22, 0.69, 13.4, 8
12.5, 0.37, 0.55, 2.6, 0.083, 25.0, 68.0, 0.9995, 3.15, 0.82, 10.4, 6
11.6, 0.32, 0.55, 2.8, 0.081, 35.0, 67.0, 1.0002, 3.32, 0.92, 10.8, 7
10.4, 0.61, 0.49, 2.1, 0.2, 5.0, 16.0, 0.9994, 3.16, 0.63, 8.4, 3
7.3, 0.365, 0.49, 2.5, 0.088, 39.0, 106.0, 0.9966, 3.36, 0.78, 11.0, 5
7.3, 0.365, 0.49, 2.5, 0.088, 39.0, 106.0, 0.9966, 3.36, 0.78, 11.0, 5
14.3, 0.31, 0.74, 1.8, 0.075, 6.0, 15.0, 1.0008, 2.86, 0.79, 8.4, 6
10.6, 0.31, 0.49, 2.5, 0.067, 6.0, 21.0, 0.9987, 3.26, 0.86, 10.7, 6
12.4, 0.35, 0.49, 2.6, 0.079, 27.0, 69.0, 0.9994, 3.12, 0.75, 10.4, 6
9.0, 0.44, 0.49, 2.4, 0.078, 26.0, 121.0, 0.9978, 3.23, 0.58, 9.2, 5
9.9, 0.5, 0.24, 2.3, 0.103, 6.0, 14.0, 0.9978, 3.34, 0.52, 10.0, 4
5.0, 0.42, 0.24, 2.0, 0.06, 19.0, 50.0, 0.9917, 3.72, 0.74, 14.0, 8
10.1, 0.65, 0.37, 5.1, 0.11, 11.0, 65.0, 1.0026, 3.32, 0.64, 10.4, 6
10.4, 0.28, 0.54, 2.7, 0.105, 5.0, 19.0, 0.9988, 3.25, 0.63, 9.5, 5
10.1, 0.935, 0.22, 3.4, 0.105, 11.0, 86.0, 1.001, 3.43, 0.64, 11.3, 4
7.9, 0.35, 0.21, 1.9, 0.073, 46.0, 102.0, 0.9964, 3.27, 0.58, 9.5, 5
9.6, 0.88, 0.28, 2.4, 0.086, 30.0, 147.0, 0.9979, 3.24, 0.53, 9.4, 5
9.9, 0.54, 0.45, 2.3, 0.071, 16.0, 40.0, 0.9991, 3.39, 0.62, 9.4, 5
9.4, 0.33, 0.59, 2.8, 0.079, 9.0, 30.0, 0.9976, 3.12, 0.54, 12.0, 6
12.1, 0.4, 0.52, 2.0, 0.092, 15.0, 54.0, 1.0, 3.03, 0.66, 10.2, 5
10.0, 0.73, 0.43, 2.3, 0.059, 15.0, 31.0, 0.9966, 3.15, 0.57, 11.0, 5
9.8, 1.24, 0.34, 2.0, 0.079, 32.0, 151.0, 0.998, 3.15, 0.53, 9.5, 5
8.2, 0.73, 0.21, 1.7, 0.074, 5.0, 13.0, 0.9968, 3.2, 0.52, 9.5, 5
8.0, 0.45, 0.23, 2.2, 0.094, 16.0, 29.0, 0.9962, 3.21, 0.49, 10.2, 6
8.1, 0.78, 0.23, 2.6, 0.059, 5.0, 15.0, 0.997, 3.37, 0.56, 11.3, 5
9.4, 0.615, 0.28, 3.2, 0.087, 18.0, 72.0, 1.0001, 3.31, 0.53, 9.7, 5
9.1, 0.765, 0.04, 1.6, 0.078, 4.0, 14.0, 0.998, 3.29, 0.54, 9.7, 4
8.9, 0.48, 0.24, 2.85, 0.094, 35.0, 106.0, 0.9982, 3.1, 0.53, 9.2, 5
6.4, 0.57, 0.02, 1.8, 0.067, 4.0, 11.0, 0.997, 3.46, 0.68, 9.5, 5
7.1, 0.59, 0.02, 2.3, 0.082, 24.0, 94.0, 0.99744, 3.55, 0.53, 9.7, 6
7.9, 0.4, 0.3, 1.8, 0.157, 2.0, 45.0, 0.99727, 3.31, 0.91, 9.5, 6
6.9, 0.635, 0.17, 2.4, 0.241, 6.0, 18.0, 0.9961, 3.4, 0.59, 10.3, 6
10.8, 0.89, 0.3, 2.6, 0.132, 7.0, 60.0, 0.99786, 2.99, 1.18, 10.2, 5
9.3, 0.37, 0.44, 1.6, 0.038, 21.0, 42.0, 0.99526, 3.24, 0.81, 10.8, 7
9.4, 0.5, 0.34, 3.6, 0.082, 5.0, 14.0, 0.9987, 3.29, 0.52, 10.7, 6
8.2, 0.28, 0.4, 2.4, 0.052, 4.0, 10.0, 0.99356, 3.33, 0.7, 12.8, 7
7.1, 0.685, 0.35, 2.0, 0.088, 9.0, 92.0, 0.9963, 3.28, 0.62, 9.4, 5
9.9, 0.25, 0.46, 1.7, 0.062, 26.0, 42.0, 0.9959, 3.18, 0.83, 10.6, 6
7.4, 0.68, 0.16, 1.8, 0.078, 12.0, 39.0, 0.9977, 3.5, 0.7, 9.9, 6
11.7, 0.28, 0.47, 1.7, 0.054, 17.0, 32.0, 0.99686, 3.15, 0.67, 10.6, 7
6.8, 0.49, 0.22, 2.3, 0.071, 13.0, 24.0, 0.99438, 3.41, 0.83, 11.3, 6
7.7, 0.715, 0.01, 2.1, 0.064, 31.0, 43.0, 0.99371, 3.41, 0.57, 11.8, 6
8.8, 0.31, 0.4, 2.8, 0.109, 7.0, 16.0, 0.99614, 3.31, 0.79, 11.8, 7
8.9, 0.75, 0.14, 2.5, 0.086, 9.0, 30.0, 0.99824, 3.34, 0.64, 10.5, 5
9.2, 0.58, 0.2, 3.0, 0.081, 15.0, 115.0, 0.998, 3.23, 0.59, 9.5, 5
