@relation winequality-red
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Quality
@data
8.9, 0.22, 0.48, 1.8, 0.077, 29.0, 60.0, 0.9968, 3.39, 0.53, 9.4, 6
6.4, 0.4, 0.23, 1.6, 0.066, 5.0, 12.0, 0.9958, 3.34, 0.56, 9.2, 5
6.6, 0.5, 0.04, 2.1, 0.068, 6.0, 14.0, 0.9955, 3.39, 0.64, 9.4, 6
7.2, 0.725, 0.05, 4.65, 0.086, 4.0, 11.0, 0.9962, 3.41, 0.39, 10.9, 5
7.8, 0.43, 0.7, 1.9, 0.464, 22.0, 67.0, 0.9974, 3.13, 1.28, 9.4, 5
8.1, 0.545, 0.18, 1.9, 0.08, 13.0, 35.0, 0.9972, 3.3, 0.59, 9.0, 6
7.8, 0.56, 0.19, 1.8, 0.104, 12.0, 47.0, 0.9964, 3.19, 0.93, 9.5, 5
7.8, 0.5, 0.17, 1.6, 0.082, 21.0, 102.0, 0.996, 3.39, 0.48, 9.5, 5
5.6, 0.5, 0.09, 2.3, 0.049, 17.0, 99.0, 0.9937, 3.63, 0.63, 13.0, 5
8.4, 0.745, 0.11, 1.9, 0.09, 16.0, 63.0, 0.9965, 3.19, 0.82, 9.6, 5
7.3, 0.55, 0.03, 1.6, 0.072, 17.0, 42.0, 0.9956, 3.37, 0.48, 9.0, 4
6.8, 0.63, 0.12, 3.8, 0.099, 16.0, 126.0, 0.9969, 3.28, 0.61, 9.5, 5
7.6, 0.55, 0.21, 2.2, 0.071, 7.0, 28.0, 0.9964, 3.28, 0.55, 9.7, 5
9.6, 0.32, 0.47, 1.4, 0.056, 9.0, 24.0, 0.99695, 3.22, 0.82, 10.3, 7
7.0, 0.49, 0.49, 5.6, 0.06, 26.0, 121.0, 0.9974, 3.34, 0.76, 10.5, 5
7.8, 0.34, 0.37, 2.0, 0.082, 24.0, 58.0, 0.9964, 3.34, 0.59, 9.4, 6
9.0, 0.82, 0.14, 2.6, 0.089, 9.0, 23.0, 0.9984, 3.39, 0.63, 9.8, 5
12.5, 0.56, 0.49, 2.4, 0.064, 5.0, 27.0, 0.9999, 3.08, 0.87, 10.9, 5
8.1, 0.87, 0.0, 3.3, 0.096, 26.0, 61.0, 1.00025, 3.6, 0.72, 9.8, 4
6.9, 0.54, 0.04, 3.0, 0.077, 7.0, 27.0, 0.9987, 3.69, 0.91, 9.4, 6
8.9, 0.4, 0.32, 5.6, 0.087, 10.0, 47.0, 0.9991, 3.38, 0.77, 10.5, 7
9.9, 0.59, 0.07, 3.4, 0.102, 32.0, 71.0, 1.00015, 3.31, 0.71, 9.8, 5
10.6, 0.83, 0.37, 2.6, 0.086, 26.0, 70.0, 0.9981, 3.16, 0.52, 9.9, 5
8.3, 0.705, 0.12, 2.6, 0.092, 12.0, 28.0, 0.9994, 3.51, 0.72, 10.0, 5
7.4, 0.67, 0.12, 1.6, 0.186, 5.0, 21.0, 0.996, 3.39, 0.54, 9.5, 5
7.1, 0.35, 0.29, 2.5, 0.096, 20.0, 53.0, 0.9962, 3.42, 0.65, 11.0, 6
9.8, 0.66, 0.39, 3.2, 0.083, 21.0, 59.0, 0.9989, 3.37, 0.71, 11.5, 7
10.0, 0.49, 0.2, 11.0, 0.071, 13.0, 50.0, 1.0015, 3.16, 0.69, 9.2, 6
10.2, 0.36, 0.64, 2.9, 0.122, 10.0, 41.0, 0.998, 3.23, 0.66, 12.5, 6
8.4, 0.56, 0.08, 2.1, 0.105, 16.0, 44.0, 0.9958, 3.13, 0.52, 11.0, 5
10.7, 0.67, 0.22, 2.7, 0.107, 17.0, 34.0, 1.0004, 3.28, 0.98, 9.9, 6
7.7, 0.665, 0.0, 2.4, 0.09, 8.0, 19.0, 0.9974, 3.27, 0.73, 9.3, 5
10.3, 0.34, 0.52, 2.8, 0.159, 15.0, 75.0, 0.9998, 3.18, 0.64, 9.4, 5
