@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.279, 0.99, 2.555, -0.738, 0.0, 0
1.404, 1.531, 0.476, 1.601, -0.424, 0
0.532, 1.963, -0.355, 0.191, -0.122, 0
0.111, 0.299, 0.404, 0.694, 0.0, 0
2.881, 0.896, 0.495, 0.475, -0.113, 0
3.386, -0.301, 0.136, -0.078, -0.055, 0
0.466, 2.279, 1.825, 0.778, -0.253, 0
0.423, 1.781, -0.696, 0.491, 1.106, 0
1.093, 1.692, 0.445, -0.312, 1.608, 0
0.165, 1.031, 1.947, -0.544, -0.228, 0
0.172, 0.953, 2.051, -0.777, -0.572, 0
0.137, 0.519, 0.76, 1.611, 0.0, 1
0.421, 1.055, 2.305, -0.547, 0.344, 0
1.371, 1.441, -0.287, 0.167, -0.171, 0
0.424, 0.745, 0.766, 1.225, 1.068, 1
1.831, 2.751, -0.372, -0.169, -0.099, 0
0.721, 0.502, 0.871, 2.022, -0.563, 0
0.704, 0.758, 1.516, 1.905, -0.85, 1
0.459, 0.541, 1.959, 1.106, -0.785, 1
3.052, -0.233, 0.162, -0.078, -0.071, 0
0.207, 0.532, 0.667, 1.25, 2.511, 0
1.658, 1.367, -0.202, 0.14, 0.133, 0
0.79, 2.192, -0.436, 0.264, -0.166, 0
0.209, 0.617, 0.883, 1.338, 0.705, 1
2.307, 1.995, -0.279, -0.144, -0.087, 0
0.833, 2.441, 1.525, 0.436, -0.162, 1
2.531, 0.387, 0.64, 1.019, -0.337, 0
1.169, 2.579, -0.529, 0.724, 0.488, 0
0.259, 1.413, 0.988, -0.348, 0.246, 0
0.186, 0.487, 0.289, 0.693, 0.0, 1
0.216, 1.593, 1.12, 0.516, 0.0, 0
1.155, 2.218, 1.672, -0.313, -0.166, 1
1.029, 1.893, 0.658, -0.432, 1.155, 0
0.152, 0.52, 0.92, 1.652, -0.749, 1
0.137, 0.587, 1.131, 0.668, 0.544, 1
0.546, 0.449, 2.054, 0.936, 1.639, 1
0.328, 1.09, 2.044, 1.063, 1.043, 1
0.266, 0.478, 1.972, 1.0, 0.602, 1
3.665, 0.822, -0.158, -0.087, -0.055, 0
0.555, 2.197, -0.337, 0.199, -0.146, 0
0.976, 0.857, 2.104, 0.725, 0.368, 0
3.259, 0.65, 0.176, 0.112, -0.066, 0
0.656, 1.465, 1.766, 0.689, -0.253, 0
0.107, 0.274, 0.337, 1.426, 1.803, 0
2.141, 1.604, 1.045, -0.292, -0.134, 0
1.512, 2.058, 0.567, 0.668, 0.487, 0
0.608, 2.771, -0.436, 0.249, -0.268, 0
0.657, 2.528, 1.186, 0.882, -0.241, 1
0.082, 0.389, 0.378, -0.617, 1.555, 0
0.255, 1.078, 2.834, -0.775, 0.0, 0
0.237, 1.014, 2.321, -0.849, 0.0, 0
0.312, 2.136, -0.335, -0.184, -0.108, 0
0.147, 0.817, 1.534, 1.705, 0.0, 0
0.305, 2.821, -0.423, -0.432, 1.228, 0
1.352, 2.625, 0.972, -0.205, -0.12, 1
0.566, 2.962, -0.624, 0.388, -0.181, 0
0.422, 1.875, 1.571, -0.461, 0.272, 0
1.95, 1.598, 0.495, 0.252, 0.503, 0
3.041, 1.383, -0.265, 0.691, -0.179, 0
0.532, 1.06, 0.93, 2.435, -0.708, 1
0.124, 0.426, 0.948, 0.71, 0.0, 1
0.141, 1.079, 1.308, -0.341, -0.166, 0
0.227, 1.501, 1.921, 0.993, 1.152, 0
0.109, 0.381, 0.656, -0.263, -0.478, 0
0.066, 0.284, 0.353, -0.574, 2.136, 0
1.807, 1.094, -0.191, -0.082, 0.068, 0
0.305, 1.048, 1.192, 1.328, -0.969, 1
0.271, 0.811, 0.913, 2.122, 0.0, 1
1.346, 2.116, -0.304, -0.166, -0.145, 0
0.826, 1.279, 1.977, -0.533, 0.347, 1
2.309, 1.809, -0.363, 0.917, -0.26, 0
2.848, 0.753, 1.285, -0.31, -0.125, 0
0.142, 1.051, 1.96, -0.564, 0.0, 0
1.404, 1.81, -0.342, -0.125, -0.085, 0
1.945, 1.221, 1.189, 1.071, -0.285, 0
0.481, 2.58, 1.476, 0.789, -0.24, 0
0.242, 0.679, 2.17, -0.68, 0.545, 1
-0.083, -0.477, -1.189, -1.581, 0.0, 0
0.49, 1.113, 1.751, 1.019, 1.024, 1
0.383, 1.686, 0.65, -0.256, -0.17, 0
1.91, 0.496, 0.188, 0.15, -0.149, 0
0.396, 0.676, 3.044, -0.554, 0.514, 1
0.346, 1.786, 1.235, 0.459, -0.209, 0
0.295, 0.966, 1.56, -0.458, 0.4, 1
2.982, 0.346, 1.35, 0.51, -0.234, 0
-0.102, 0.692, 1.585, 1.197, 0.0, 0
0.094, 0.926, 1.599, -0.563, -0.305, 0
0.961, 1.392, 1.215, 0.476, 1.277, 1
0.28, 0.553, 0.725, 1.927, -0.783, 1
0.151, 0.302, 0.409, 0.853, 1.596, 0
