@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.416, 1.689, 0.756, -0.252, -0.145, 0
0.121, 0.311, 0.588, 1.978, -0.652, 0
2.571, -0.235, 0.201, 0.137, -0.133, 0
0.266, 0.711, 1.002, 1.138, 0.536, 1
0.443, 0.705, 0.759, 1.27, 0.92, 1
0.487, 2.467, -0.428, -0.213, -0.121, 0
0.53, 1.273, 1.002, 0.733, -0.692, 1
0.66, 0.885, 1.552, -0.425, 0.345, 1
0.35, 0.585, 0.907, 2.188, 1.632, 1
0.551, 2.308, -0.517, -0.189, -0.122, 0
0.226, 0.807, 2.147, -0.703, 0.395, 0
0.252, 2.498, -0.53, 0.347, -0.137, 0
0.333, 1.292, 1.023, 0.455, -0.199, 0
0.87, 2.27, 1.651, 0.636, -0.192, 1
0.156, 1.135, 1.541, -0.448, -0.214, 0
3.279, 0.547, 0.317, 0.463, 0.166, 0
2.063, 0.377, 0.143, 0.108, 0.1, 0
3.151, -0.31, 0.308, 0.612, -0.171, 0
1.0, 1.739, 0.89, 0.369, -0.599, 0
0.583, 3.025, 0.989, -0.302, -0.153, 0
0.258, 1.379, 1.885, 0.799, 0.0, 0
0.453, 0.577, 1.37, 1.883, -0.557, 0
0.538, 1.064, 1.516, -0.309, 0.187, 0
0.388, 2.567, -0.429, -0.26, -0.127, 0
0.106, 0.772, 0.327, 1.13, 0.969, 1
1.247, 2.31, -0.321, -0.157, 0.245, 0
0.614, 2.482, 1.234, 0.553, -0.184, 0
0.249, 1.039, 3.199, -0.81, -0.372, 0
0.312, 0.538, 1.261, 0.777, 0.0, 1
0.37, 1.143, 2.195, -0.54, -0.577, 1
0.607, 2.773, -0.348, -0.168, 0.145, 0
0.692, 1.18, 1.666, 0.683, -0.224, 0
0.235, 0.527, 0.381, 0.925, 0.949, 0
0.095, 0.413, 0.362, 0.544, 0.0, 0
2.673, 0.831, 1.16, -0.308, -0.124, 0
0.231, 2.426, 0.676, 1.775, -0.545, 0
0.181, 1.132, 2.038, -0.56, 0.0, 0
0.181, 0.509, 0.75, 1.97, 0.0, 0
0.451, 1.433, -0.363, -0.198, -0.189, 0
0.288, 1.247, 2.861, -0.914, -0.366, 0
0.098, 0.307, 0.415, 1.045, -0.403, 1
0.465, 0.499, 2.231, 0.939, 0.589, 1
0.091, 0.36, 0.497, -1.093, 0.0, 0
0.88, 2.143, 0.546, 0.306, -0.234, 0
2.916, 0.539, -0.126, 0.125, -0.06, 0
0.636, 0.8, 1.945, 0.737, 0.362, 0
0.34, 0.757, 2.362, 0.896, 0.515, 0
0.135, 0.606, 1.343, 2.28, 0.0, 0
0.159, 1.028, 1.872, -0.768, -0.553, 0
0.453, 1.5, 1.71, 0.959, 0.989, 1
-0.112, 1.025, -0.216, 0.613, -0.195, 0
0.36, 1.966, 0.718, 0.319, -0.182, 0
0.523, 2.012, 0.604, 0.371, -0.31, 0
0.54, 0.904, 2.359, -0.803, -0.314, 0
0.38, 2.526, 1.04, -0.466, 0.0, 0
1.136, 2.373, 1.464, -0.3, -0.168, 1
0.098, 0.335, 0.564, 0.887, 1.862, 1
0.747, 0.593, 1.381, 1.936, 1.205, 1
0.427, 1.543, 0.576, -0.193, -0.123, 0
1.625, 1.636, 0.389, -0.134, 0.125, 0
0.081, 0.381, 0.553, 0.93, 0.0, 0
0.442, 0.747, 0.436, 1.08, 0.996, 1
-0.235, 0.726, 0.866, 1.448, 0.0, 1
1.304, 1.219, -0.234, 0.12, 0.094, 0
2.116, 2.138, 0.544, 0.57, 0.265, 0
0.413, 2.223, 1.258, 0.713, 0.951, 1
0.648, 3.489, -0.54, 0.344, 0.273, 0
0.266, 0.825, 2.484, -0.527, -0.319, 0
0.175, 0.516, 0.862, 1.92, -0.775, 1
0.67, 3.124, -0.576, -0.285, -0.366, 0
1.239, 1.892, 0.585, 0.715, 0.741, 0
0.363, 0.694, 1.93, 0.798, -0.367, 0
0.134, 0.612, 1.455, 2.024, 0.0, 0
0.504, 2.242, 0.645, 0.684, 0.845, 1
1.735, 1.654, 1.561, -0.351, -0.165, 0
3.287, 0.685, 0.277, 0.871, -0.201, 0
0.119, 0.807, 1.294, 1.762, 0.0, 0
0.123, 0.402, 0.892, 0.635, 0.0, 1
3.104, -0.277, 0.154, 0.122, -0.103, 0
2.942, 0.581, -0.131, 0.089, 0.06, 0
3.53, -0.271, 0.181, -0.078, 0.071, 0
2.302, 0.351, -0.09, -0.052, 0.045, 0
0.524, 2.158, 1.94, 0.695, 0.653, 0
0.369, 1.723, 1.396, -0.502, -0.282, 0
0.523, 2.466, -0.731, 0.345, 0.0, 0
1.203, 2.256, -0.356, -0.157, -0.108, 0
0.561, 3.053, -0.613, 0.388, -0.175, 0
3.542, 0.562, 0.413, -0.096, -0.055, 0
0.115, 0.628, 0.523, 0.719, 0.731, 0
0.981, 2.268, -0.337, 0.189, -0.161, 0
0.536, 0.795, 2.354, 1.06, -0.347, 0
0.242, 0.421, -0.247, 1.066, 1.571, 1
2.158, 0.882, -0.128, 0.112, 0.11, 0
0.363, 2.737, -0.383, -0.185, 0.169, 0
0.226, 1.272, 1.624, -0.461, 0.0, 0
0.243, 0.495, 0.455, 1.268, 1.067, 1
0.385, 1.242, 0.828, -0.34, 0.466, 0
0.211, 1.58, 1.101, 0.498, 0.0, 0
0.749, 2.548, 0.543, 1.353, -0.331, 0
2.602, 0.404, 0.131, 0.1, 0.059, 0
0.13, 0.394, 0.507, 1.837, 0.985, 0
0.68, 2.254, -0.532, -0.215, 0.0, 0
0.136, 0.457, 0.56, 0.674, 0.0, 0
0.11, 0.421, 0.735, -0.265, 0.0, 0
0.154, 0.532, 0.93, 1.668, -0.542, 0
0.83, 1.972, -0.46, -0.185, 0.0, 0
0.334, 0.871, 0.905, 0.884, 0.785, 1
1.21, 2.399, -0.493, 0.288, -0.15, 0
0.221, 0.939, 0.865, 1.636, 0.0, 1
0.172, 0.526, 0.524, 1.262, 0.0, 1
