@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.318, 0.811, 0.818, 0.821, 0.86, 1
0.533, 2.139, 0.629, 0.241, -0.1, 0
0.06, 0.225, 0.119, 0.264, 0.912, 0
0.492, 2.604, -0.594, 0.313, -0.147, 0
0.27, 0.959, 1.687, 1.705, 0.0, 0
0.912, 2.285, -0.449, -0.159, -0.099, 0
0.311, 1.493, 0.423, 0.304, -0.113, 0
1.168, 2.156, -0.289, -0.122, 0.109, 0
0.255, 3.145, -0.507, 1.274, -0.385, 0
0.556, 3.451, -0.597, -0.245, -0.153, 0
0.58, 1.755, 1.087, 0.334, 0.0, 0
0.081, 0.309, 0.445, -0.697, 1.824, 0
0.955, 1.445, 1.608, 0.716, 0.689, 1
1.197, 1.397, 0.353, 0.184, 0.119, 0
1.956, 1.328, 0.82, 0.451, -0.256, 0
0.456, 2.315, 1.872, 0.703, -0.293, 0
1.118, 2.528, -0.347, -0.151, 0.189, 0
0.15, 1.057, 0.645, 1.318, 1.157, 1
0.287, 0.531, 0.696, 1.883, 0.0, 1
0.272, 1.776, 1.417, 0.504, -0.241, 0
1.129, 2.213, 0.816, 0.65, -0.436, 0
0.73, 2.928, -0.496, -0.189, -0.133, 0
2.095, 0.869, -0.134, 0.102, 0.103, 0
0.178, 0.299, 0.516, 1.123, 1.037, 1
3.272, 0.713, -0.131, -0.085, -0.052, 0
0.675, 2.061, 0.701, 0.248, -0.121, 0
1.287, 2.039, -0.425, -0.476, 1.222, 0
2.534, 0.387, 0.641, 1.019, -0.339, 0
0.642, 2.074, -0.419, -0.181, -0.104, 0
0.629, 2.673, 1.008, 0.403, -0.177, 0
0.296, 1.138, 2.518, -0.974, 0.0, 0
0.662, 0.862, 1.361, 0.827, -0.796, 1
0.599, 2.53, -0.481, -0.343, 1.107, 0
0.58, 3.373, -0.566, -0.245, -0.146, 0
0.41, 2.154, 1.28, 0.836, 1.02, 1
0.512, 2.054, -0.377, 0.473, 1.449, 0
0.2, 0.764, 0.892, 1.241, -0.772, 1
0.767, 1.165, 0.339, -0.1, -0.065, 0
0.799, 2.609, -0.435, -0.262, -0.246, 0
0.359, 1.057, 2.371, -0.781, -0.393, 0
0.965, 1.317, -0.295, -0.121, -0.067, 0
0.395, 0.526, 0.974, 0.965, 0.0, 1
2.072, 0.268, -0.11, 0.081, -0.082, 0
1.134, 0.882, -0.142, 0.07, 0.078, 0
0.378, 1.673, 0.824, 0.405, -0.173, 0
1.903, 1.271, -0.244, 0.122, 0.098, 0
0.228, 1.354, 1.264, -0.39, 0.246, 0
0.205, 1.433, 0.976, 0.327, 0.198, 0
0.362, 1.662, 2.35, -0.636, 0.0, 0
0.119, 0.298, 0.627, 1.522, 0.934, 0
0.296, 0.584, 0.554, 1.044, 1.251, 1
0.304, 1.005, 0.773, 1.871, 1.331, 1
0.104, 0.463, 1.052, 2.313, 0.0, 0
2.793, 0.551, 0.577, 0.686, 0.4, 0
0.134, 0.334, 0.428, 1.189, 0.0, 0
0.305, 1.08, 0.845, 2.245, -0.67, 1
1.942, 0.607, 0.137, 0.203, -0.139, 0
0.972, 1.505, -0.232, -0.101, 0.101, 0
-0.802, 0.884, -0.289, 0.341, -0.452, 0
0.885, 2.87, -0.414, -0.173, -0.117, 0
0.089, 0.322, 0.591, 0.521, -0.299, 1
0.147, 0.851, 1.499, 2.585, -0.996, 0
1.472, 1.773, -0.347, -0.123, -0.077, 0
2.944, 1.111, 0.37, 0.258, 0.308, 0
1.041, 1.96, -0.318, 0.195, -0.41, 0
2.055, 1.169, 0.301, 0.235, -0.066, 0
0.121, 0.671, 1.375, 0.0, 0.0, 1
0.586, 1.146, 1.123, 2.144, -0.7, 1
0.819, 1.963, 1.105, 1.48, -0.357, 1
-0.982, 1.558, -0.327, -0.136, -0.086, 0
0.604, 1.316, 1.722, 0.669, 1.196, 1
1.139, 0.866, 0.238, 0.096, 0.081, 0
2.329, 0.794, 0.311, -0.082, 0.075, 0
2.299, 0.98, 0.783, -0.217, 0.221, 0
1.706, 2.23, -0.347, 0.568, 0.504, 0
0.329, 0.432, 1.607, 1.44, -0.784, 0
0.117, 0.571, 1.476, 1.128, -0.35, 0
0.635, 3.127, -0.56, -0.274, -0.393, 0
1.723, 2.168, -0.377, -0.281, 0.723, 0
0.189, 0.543, 0.212, 1.125, 1.457, 1
1.396, 2.19, -0.475, 0.617, 0.98, 0
0.335, 2.197, -0.365, -0.168, -0.104, 0
-0.109, 1.071, 1.948, -0.623, -0.391, 0
0.475, 0.984, 1.695, -1.032, -0.825, 1
2.64, 0.625, 0.155, 0.106, 0.058, 0
0.935, 2.671, -0.605, -0.191, 0.793, 0
