@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.307, 1.272, 2.656, -0.946, -0.467, 0
0.229, 1.748, 0.634, 0.259, 0.0, 0
0.655, 1.054, 1.372, -0.724, 1.77, 1
0.316, 1.36, 1.986, -0.624, 0.497, 0
0.533, 2.581, -0.595, -0.227, -0.123, 0
0.482, 0.917, 1.435, -0.835, -0.762, 1
0.967, 2.225, -0.291, -0.145, -0.107, 0
0.42, 2.394, 1.358, 0.675, 0.0, 0
0.218, 0.659, 1.048, 2.194, -0.904, 1
0.871, 0.961, 1.468, 1.132, 1.339, 1
0.328, 1.09, 2.044, 1.063, 1.043, 1
0.508, 2.937, -0.498, 0.263, -0.159, 0
0.269, 1.13, 2.209, -0.786, -0.323, 0
1.195, -0.837, -0.266, 0.144, -0.086, 0
0.089, 0.616, 1.451, 1.569, 0.0, 0
1.235, 1.996, -0.359, 0.21, 0.141, 0
0.387, 0.474, 1.643, 2.735, -0.624, 1
0.267, 0.727, 0.677, 1.807, 1.49, 0
0.181, 0.479, 1.833, -0.925, -0.387, 1
0.251, 1.067, 0.443, 0.472, 0.444, 0
0.155, 0.453, 1.053, 2.089, -0.71, 0
0.192, 0.638, 0.498, 0.73, 1.219, 1
2.01, 1.07, 0.359, -0.085, -0.051, 0
0.432, 0.615, 1.981, -0.682, 0.457, 1
0.227, 1.064, 2.302, 1.11, -0.354, 0
0.164, 0.556, -0.683, 2.022, 0.0, 0
1.176, 2.074, -0.336, 0.254, -0.135, 0
2.918, 0.994, 0.745, -0.148, -0.079, 0
0.268, 1.599, 0.712, 0.28, -0.11, 0
1.086, 1.163, -0.272, -0.118, -0.06, 0
0.656, 3.296, -0.554, 0.722, 0.378, 1
0.536, 2.885, 1.008, 0.451, 0.0, 0
0.131, 0.316, 0.492, -0.883, 0.0, 0
3.483, 0.479, -0.134, 0.108, 0.082, 0
1.929, 0.828, 0.178, 0.163, 0.159, 0
0.576, 0.551, 1.96, 1.163, 1.59, 1
0.721, 1.473, 1.911, 0.746, 1.298, 1
0.405, 3.056, -0.609, -0.304, -0.271, 0
0.836, 2.717, 1.521, -0.364, -0.173, 1
3.684, 0.362, -0.1, -0.07, 0.052, 0
2.146, 0.439, 0.159, 0.129, -0.139, 0
0.204, 0.567, 2.562, -0.649, 0.398, 0
0.414, 0.577, 0.988, 1.104, 0.0, 1
0.695, 1.923, -0.27, -0.128, -0.07, 0
0.247, 0.645, 0.797, 1.719, 0.977, 0
0.338, 1.087, 2.791, -0.824, -0.381, 0
0.106, 0.387, 0.835, 0.639, 0.0, 1
0.356, 1.13, 2.504, -0.678, -0.344, 1
2.733, 0.493, -0.116, 0.082, -0.041, 0
0.374, 1.254, 1.206, 0.576, -0.215, 0
1.518, 1.411, -0.23, 0.135, -0.08, 0
3.237, 0.521, 1.084, -0.263, -0.096, 0
2.328, 0.582, -0.107, 0.077, -0.038, 0
1.31, 2.463, -0.334, -0.148, -0.103, 0
0.316, 1.385, 1.342, -0.401, -0.204, 0
0.181, 1.783, 2.053, -0.661, -0.25, 0
1.203, 2.741, 0.944, 0.313, -0.141, 0
2.099, 0.889, -0.175, 0.09, -0.076, 0
0.159, 0.356, 0.591, 1.763, 1.424, 0
0.315, 1.213, 0.769, 1.048, 0.786, 1
0.576, 2.703, 1.06, 0.599, -0.229, 0
0.58, 0.542, 1.528, 0.834, 0.478, 1
0.406, 2.574, 2.009, -0.413, -0.177, 1
0.307, 2.782, -0.427, -0.206, -0.138, 0
0.52, 0.985, 1.236, 1.072, 1.783, 1
0.977, 2.536, -0.536, 1.041, -0.288, 0
0.635, 1.011, 2.131, 1.184, 0.832, 1
0.14, 0.312, 0.314, 0.351, 0.922, 1
0.178, 0.698, 0.508, 0.776, 0.0, 1
0.108, 0.412, 0.517, 1.09, 0.0, 1
0.261, 0.593, 1.21, 1.203, 0.0, 0
0.771, 2.585, -0.676, 0.426, -0.3, 0
0.399, 0.66, 2.966, -0.691, 0.462, 1
0.4, 1.025, 2.406, -0.789, 0.429, 0
0.23, 1.749, -0.395, 0.34, -0.12, 0
3.542, -0.331, -0.158, 0.077, 0.064, 0
-0.095, -0.39, -0.636, 1.812, 0.0, 1
0.098, 0.693, 0.294, 0.912, 1.322, 1
1.126, 2.136, 0.629, -0.165, -0.191, 0
3.393, 0.377, -0.111, -0.077, -0.055, 0
0.289, 1.235, 2.536, -0.661, -0.358, 0
0.531, 3.435, -0.592, -0.239, -0.165, 0
0.45, 0.721, 1.903, 1.228, 1.565, 1
0.647, 3.212, -0.483, -0.223, -0.146, 0
0.339, 1.148, 2.217, -0.623, 0.628, 0
0.436, 2.561, 1.097, 0.802, 0.0, 0
0.298, 1.666, 1.496, 1.471, -0.607, 1
0.912, 0.791, 0.893, 1.416, 0.563, 1
1.472, 0.728, -0.13, 0.112, 0.121, 0
1.766, 1.457, 0.509, 0.27, 0.797, 0
2.544, 0.78, 0.363, 0.243, 0.533, 0
0.205, 0.549, 0.782, 1.773, -0.534, 0
0.273, 1.758, 0.817, 0.332, 0.162, 0
-0.174, 1.629, 1.45, 0.648, 0.387, 0
2.619, 0.853, -0.161, 0.091, -0.048, 0
2.954, 0.951, 0.729, 0.326, -0.126, 0
1.067, 2.209, -0.336, -0.142, 0.106, 0
0.953, 0.741, 1.895, 0.956, -0.372, 0
0.595, 1.653, -0.345, 0.205, -0.084, 0
0.459, 1.882, -0.37, -0.157, -0.102, 0
0.823, 2.79, -0.414, 0.299, -0.225, 0
0.33, 1.209, 2.637, -0.73, 0.0, 0
0.2, 0.591, 1.458, 0.632, 1.286, 1
0.219, 0.695, 1.079, 1.107, -0.635, 1
1.577, 1.626, 0.78, 0.399, 0.394, 0
0.158, 0.281, 0.389, 1.072, 1.464, 0
0.657, 0.49, 0.812, 2.008, -0.561, 0
2.348, 0.283, 0.143, 0.163, -0.064, 0
0.191, 0.519, 0.724, 2.156, -0.758, 0
-0.235, -0.709, -1.258, -1.135, -0.58, 1
0.308, 2.052, -0.397, 0.273, 0.114, 0
0.158, 0.475, 0.468, 0.778, 0.0, 0
0.592, 2.457, -0.353, -0.173, 0.158, 0
