@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.136, 0.736, 1.847, 1.073, -0.424, 0
0.699, 2.295, 0.67, 0.403, -0.391, 0
1.312, 2.591, 0.874, 0.534, -0.175, 0
1.607, 2.312, -0.381, 0.222, 0.163, 0
0.856, 1.875, 1.186, 0.366, 0.0, 0
0.12, 0.443, 0.325, -0.318, 0.904, 1
0.18, 0.836, 2.024, 1.056, 0.0, 0
1.271, 1.743, -0.315, -0.404, 1.494, 0
2.075, 2.142, 0.539, 0.457, 0.301, 0
0.245, 0.552, 0.581, -0.528, 0.0, 0
0.338, 0.477, 1.821, 1.191, 0.997, 0
0.284, 0.976, 2.743, -0.786, -0.392, 1
3.115, 0.571, 0.235, -0.074, -0.043, 0
0.229, 0.452, 0.523, 1.47, 1.046, 0
0.144, 0.858, 2.303, -0.718, -0.535, 0
2.822, 0.316, -0.097, 0.091, -0.062, 0
0.472, 2.321, 1.722, 0.716, -0.3, 0
0.567, 0.863, 1.979, -0.496, 0.416, 1
2.469, 0.32, 0.113, 0.082, 0.063, 0
1.186, 2.573, 1.102, 0.344, 0.194, 1
0.135, 0.68, 1.173, 1.552, 0.0, 1
0.075, 0.376, 0.311, 0.424, 0.0, 0
0.939, 1.4, 1.587, 1.303, -0.455, 1
2.416, 0.88, -0.137, 0.094, -0.035, 0
0.313, 0.654, 1.664, 0.789, 0.66, 1
2.676, 0.308, 0.45, 0.983, -0.226, 0
0.539, 0.555, 2.047, 1.247, 1.558, 1
0.121, 0.582, 1.368, 2.225, 0.0, 0
0.174, 0.938, 0.513, 1.097, 0.886, 1
0.049, 0.309, 0.337, -0.447, -0.559, 0
0.118, 0.384, 0.41, 0.973, 1.363, 0
0.634, 3.05, -0.59, 0.876, -0.329, 0
0.077, -0.088, 0.197, -0.326, 0.0, 1
2.646, 0.98, -0.149, -0.092, -0.039, 0
0.183, 0.64, 0.717, 1.903, -0.738, 0
-0.712, 0.483, 0.166, 0.148, -0.082, 0
1.094, 2.35, -0.346, 0.183, -0.108, 0
0.241, 1.884, 0.49, 0.272, -0.103, 0
0.87, 2.369, -0.472, -0.198, -0.127, 0
1.371, 0.965, 0.751, 0.638, 0.325, 1
0.545, 0.752, 2.025, -0.604, -0.363, 1
0.356, 1.503, 1.271, -0.396, -0.193, 0
0.35, 2.637, -0.533, -0.26, -0.136, 0
0.828, 2.132, -0.487, -0.205, -0.147, 0
1.334, 1.06, 1.236, 1.109, 0.682, 0
0.157, 0.432, 0.837, 1.902, -0.875, 0
1.007, 2.845, -0.424, 0.422, 0.617, 0
2.209, 1.314, 0.443, 0.529, 0.745, 0
2.117, 1.646, 0.982, -0.302, -0.129, 0
0.619, 1.695, -0.579, -0.233, -0.163, 0
0.53, 2.976, -0.61, 0.683, 0.671, 0
0.794, 1.828, 0.782, -0.201, 0.12, 0
2.198, 0.27, 0.513, 1.842, -0.529, 0
0.541, 2.888, -0.673, -0.254, -0.152, 0
0.672, 0.602, 0.686, 2.131, -0.569, 1
0.238, 0.809, 2.106, -0.604, -0.711, 1
0.072, 0.265, 0.359, 1.007, 0.0, 0
0.563, 2.441, 1.527, -0.485, 0.0, 0
0.482, 1.236, 2.547, -0.705, -0.287, 0
1.383, 0.79, 2.558, -0.547, -0.257, 1
0.428, 0.5, 2.038, 0.733, 0.449, 1
1.178, 0.625, 1.634, 0.618, 0.273, 1
0.954, 2.609, -0.41, 1.195, -0.377, 0
1.947, 0.99, 0.181, 0.14, 0.135, 0
0.403, 1.803, 1.168, 0.516, -0.229, 0
0.583, 2.523, 0.658, 0.295, 0.246, 0
0.584, 1.796, 1.607, 1.431, -0.338, 1
0.294, 0.523, 2.163, 1.14, 1.487, 1
1.52, 1.396, -0.232, 0.133, -0.081, 0
3.22, 0.598, 0.316, 0.096, -0.052, 0
1.776, 1.123, -0.177, -0.071, 0.073, 0
1.619, 1.55, -0.28, -0.1, 0.0, 0
0.541, 2.446, 1.583, -0.44, -0.212, 0
2.084, 1.911, 0.883, -0.24, 0.154, 0
1.301, 2.591, -0.415, -0.246, -0.286, 0
0.719, 2.628, -0.487, 0.253, -0.233, 0
0.148, 1.029, 2.467, -0.672, 0.0, 0
0.384, 3.147, 1.699, -0.41, -0.172, 1
0.263, 0.913, 2.603, -0.687, -0.337, 0
0.172, 0.662, 1.622, 1.093, 0.0, 0
0.252, 1.166, 3.149, -0.726, -0.404, 0
2.51, 1.063, 0.852, 0.72, -0.21, 0
0.557, 0.596, 1.601, 1.204, 0.683, 1
2.956, 0.36, 1.436, -0.266, -0.128, 0
0.294, 0.453, 1.748, 0.946, 1.138, 0
0.194, 1.262, 1.72, 0.754, 0.0, 0
0.808, 1.69, -0.371, -0.151, -0.103, 0
0.254, 2.007, 1.015, 0.607, 1.433, 0
0.874, 2.65, 1.256, 0.584, -0.191, 1
1.677, 1.266, 0.522, 0.394, -0.206, 0
0.321, 0.674, 0.745, 2.252, 2.087, 1
-0.097, 1.037, 1.396, -0.632, -0.307, 0
0.129, 0.969, 0.707, 1.683, -1.009, 1
0.145, 0.331, 0.458, -0.741, 0.0, 0
1.896, 0.648, 0.207, 0.138, -0.072, 0
1.351, 2.481, 1.044, 0.572, -0.183, 0
0.584, 2.874, -0.821, 0.521, -0.205, 0
0.093, 0.443, 0.752, 2.5, 0.0, 1
0.25, 1.027, 2.634, -0.859, 0.611, 0
0.307, 0.846, 2.121, 1.537, 1.264, 1
0.171, -0.298, -0.509, -1.084, -0.995, 1
0.235, 0.673, 1.025, 1.332, -0.6, 1
2.451, -0.211, 0.222, 0.166, -0.062, 0
0.327, 1.291, 1.152, 0.541, -0.517, 0
0.121, 0.325, 0.328, 0.874, 1.973, 0
0.402, 0.617, 1.656, 1.123, -0.363, 0
3.042, 0.472, -0.121, 0.093, 0.073, 0
0.959, 2.302, 1.197, 0.369, -0.176, 1
