@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
2.941, 0.657, 1.493, -0.331, -0.123, 0
0.105, 0.576, 0.342, 0.83, 0.0, 1
0.151, 0.642, 1.454, 1.281, -0.716, 1
1.089, 1.423, -0.387, -0.123, 0.09, 0
0.464, 1.792, 2.176, -0.517, -0.327, 0
0.268, 2.164, 0.991, 0.63, 0.0, 0
0.832, 2.711, -0.639, 0.381, 0.0, 0
0.341, 1.007, 2.908, -0.772, 0.391, 0
1.752, 1.47, 1.261, -0.437, 0.648, 1
0.17, 1.356, 0.82, 0.333, 0.0, 0
0.238, 0.475, 1.232, 1.637, 0.785, 0
0.389, 0.55, 0.897, 1.13, 0.0, 1
0.861, 1.811, -0.291, 0.212, -0.256, 0
1.437, 1.91, 1.583, 0.563, -0.165, 1
3.307, 0.503, -0.171, -0.156, 0.598, 0
3.06, 0.584, 0.224, 0.326, -0.088, 0
0.41, 1.009, 2.024, -0.555, -0.271, 0
0.144, 0.713, 1.753, 1.197, 0.0, 0
0.772, 2.995, 0.945, -0.321, 0.204, 0
0.096, 0.433, 0.631, 2.096, -0.896, 1
0.131, 0.5, 1.297, 1.7, -0.536, 0
1.923, 0.966, 0.365, 0.301, 1.151, 0
0.14, 0.996, 2.233, -0.721, -0.281, 0
2.153, 1.127, 0.359, -0.105, -0.062, 0
1.021, 2.274, -0.52, -0.19, -0.12, 0
0.797, 2.197, -0.479, -0.19, 0.0, 0
1.022, 1.607, -0.248, -0.109, 0.11, 0
0.159, 0.378, 0.46, -0.601, 1.794, 0
0.755, 1.277, -0.297, -0.426, 1.903, 0
3.079, 0.491, -0.124, -0.084, 0.071, 0
3.341, -0.275, -0.106, -0.069, -0.051, 0
0.954, 1.444, 1.608, 0.716, 0.689, 1
-0.668, -0.709, -0.391, -0.143, -0.089, 0
0.106, 0.455, 0.989, 1.748, 0.0, 0
0.925, 2.303, -0.408, -0.144, -0.084, 0
0.421, 1.494, 1.362, 1.755, 0.0, 1
0.19, 0.496, 0.893, 1.781, -0.507, 0
0.195, 1.204, 1.497, -0.432, 0.0, 0
-0.185, -0.656, -0.802, -0.64, -0.32, 0
