@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
1.24, 0.875, -0.205, -0.078, 0.067, 0
0.96, 0.712, -0.143, 0.091, -0.061, 0
0.108, 0.464, 1.302, 1.08, -0.349, 0
0.747, 1.029, 1.346, -0.998, 1.722, 1
0.96, 1.09, 0.513, 1.114, 0.729, 1
0.531, 2.105, -0.397, -0.201, -0.103, 0
3.084, 0.782, -0.166, -0.088, -0.061, 0
0.141, 0.64, 0.922, 1.899, 0.0, 1
0.148, 0.777, 1.533, 1.672, 0.0, 0
0.64, 2.462, 1.133, -0.335, 0.0, 0
0.352, 1.828, -0.377, -0.165, 0.0, 0
0.515, 0.457, 1.714, 1.058, -0.36, 1
-0.077, -0.174, 0.431, -0.47, 0.0, 0
-0.145, 1.424, 1.738, -0.798, 0.0, 0
0.303, 1.426, 0.978, 0.327, 0.157, 0
0.213, 1.448, 0.992, 0.338, 0.0, 0
0.324, 1.276, 0.55, 0.378, 0.385, 0
1.026, 2.185, -0.539, 0.206, 0.252, 0
0.648, 0.484, 0.776, 1.913, -0.599, 0
1.16, 1.236, -0.238, -0.093, -0.058, 0
2.586, 0.614, 0.19, 0.162, 0.101, 0
0.999, 2.847, 0.928, 0.438, -0.144, 1
0.377, 0.801, 2.391, -0.743, -0.506, 1
0.157, 0.841, 0.912, 2.023, -0.689, 0
1.576, 1.608, -0.304, -0.121, 0.108, 0
3.223, 0.698, -0.13, -0.061, -0.046, 0
0.145, 0.392, 0.477, 2.189, -0.911, 0
1.918, 1.214, 0.261, 0.114, -0.067, 0
0.735, 2.882, 1.014, -0.355, 0.216, 0
2.885, -0.282, 1.362, 0.503, -0.216, 0
0.991, 2.986, 0.833, 0.648, 0.314, 0
0.208, 0.897, 0.738, 1.64, -0.648, 1
4.107, 0.607, -0.107, -0.047, -0.033, 0
0.195, 0.419, 1.9, 1.248, 1.47, 1
2.917, 1.008, 0.494, 0.432, 0.385, 0
0.365, 0.876, 0.9, 1.509, 0.0, 1
0.711, 2.448, -0.47, 0.255, 0.166, 0
0.358, 0.471, 2.017, 0.907, 0.39, 1
0.294, 1.074, 0.746, 1.111, -0.805, 1
0.247, 1.17, 2.051, -0.56, 0.573, 0
0.55, 2.247, 0.744, 0.503, -0.363, 0
3.221, 0.509, -0.151, 0.16, -0.06, 0
0.308, 2.612, -0.517, 0.271, 0.174, 0
2.286, 1.321, 0.696, -0.171, 0.204, 0
1.543, 1.994, -0.283, -0.126, 0.103, 0
0.192, 1.594, 2.314, -0.694, 0.0, 0
0.201, 1.552, 0.829, 0.323, 0.183, 0
0.156, 0.678, 1.319, 0.914, 0.0, 1
0.134, 0.681, 1.628, 1.01, 0.56, 0
0.257, 0.577, 0.638, 1.253, 1.175, 0
0.55, 1.931, -0.482, -0.207, -0.128, 0
1.002, 1.378, 1.598, 1.22, -0.531, 1
0.205, 1.397, 1.363, 0.508, -0.177, 0
0.117, 0.276, 0.554, 1.391, 1.095, 0
1.952, 1.886, 0.387, 0.323, 0.409, 0
-0.239, 3.211, -0.684, -0.311, -0.169, 0
3.065, 0.355, -0.113, -0.073, 0.063, 0
0.708, 2.221, -0.545, -0.188, 0.0, 0
3.061, 0.583, 0.224, 0.326, -0.088, 0
0.078, 0.353, 0.424, 1.574, -0.853, 0
1.49, 1.435, -0.249, -0.095, 0.091, 0
1.012, 1.612, -0.3, 0.203, -0.092, 0
1.004, 2.192, 1.276, 0.833, -0.228, 0
0.091, 0.443, 0.427, 0.738, -0.721, 0
0.622, 3.087, -0.758, -0.252, -0.155, 0
0.396, 1.382, 1.724, 1.114, -0.452, 1
0.518, 2.673, 1.493, 0.691, -0.269, 0
0.847, 1.63, -0.328, 0.351, -0.395, 0
0.366, 1.727, 0.828, 0.386, -0.202, 0
0.239, 0.547, 0.397, 0.904, 1.064, 0
1.065, 2.259, -0.486, 0.252, 0.342, 0
0.136, 0.717, 1.145, 1.897, 0.0, 1
0.207, 1.141, 1.935, -0.548, -0.229, 0
0.978, 0.816, 1.927, -0.591, 0.989, 1
0.785, 2.821, 1.234, 0.699, 0.367, 1
1.952, 0.499, 0.188, 0.151, -0.149, 0
0.53, 2.274, -0.541, -0.186, 0.129, 0
2.342, 1.805, -0.33, 1.068, -0.276, 0
1.654, 1.517, 0.68, 0.716, 0.826, 0
1.063, 2.585, -0.415, -0.175, -0.116, 0
0.23, 0.926, 1.236, 2.243, 0.0, 1
0.314, 2.164, 1.565, 0.995, 1.038, 0
-0.164, 0.342, 0.758, 1.911, -1.145, 1
0.683, 3.51, -0.562, 0.319, 0.275, 0
0.665, 2.972, -0.438, 0.256, -0.126, 0
0.425, 1.439, 0.424, 0.275, 0.0, 0
0.208, 0.617, 0.643, 1.657, 0.0, 1
0.326, 0.7, 0.62, 1.886, -0.972, 1
0.106, 0.468, 0.906, 0.825, -0.558, 1
0.582, 0.496, 0.81, 1.548, -0.667, 1
2.364, 0.747, 0.321, -0.078, 0.068, 0
2.975, 0.585, -0.127, 0.086, -0.05, 0
1.303, 1.852, -0.364, 0.406, 1.379, 0
1.121, 1.599, 0.512, 0.329, -0.275, 0
2.756, 0.266, 0.158, 0.194, -0.063, 0
0.346, 1.789, 0.629, 0.268, 0.137, 0
0.31, 0.496, 1.401, 1.696, 1.766, 1
2.036, 1.325, 0.513, 0.373, -0.135, 0
-0.154, -0.237, -0.372, 1.003, 1.676, 1
0.402, 2.047, -0.326, -0.175, -0.092, 0
0.27, 1.23, 2.807, -0.812, -0.394, 0
0.1, 0.261, 0.323, 1.385, 1.829, 0
0.102, 0.564, 0.579, -0.965, 0.0, 0
0.441, 1.842, -0.321, 0.229, -0.096, 0
0.125, 0.446, 0.441, 1.127, 0.0, 0
0.134, 0.494, -0.522, -0.643, 0.786, 0
3.027, 0.863, -0.149, 0.099, 0.063, 0
0.192, 0.982, 2.439, 0.961, -0.506, 0
1.62, 1.209, 1.446, 0.716, 0.837, 1
0.947, 2.776, 0.745, 0.853, -0.224, 0
0.412, 2.62, 0.73, 0.556, 0.0, 0
1.022, 1.834, -0.253, -0.106, 0.1, 0
0.942, 0.966, -0.214, 0.107, 0.116, 0
0.431, 0.681, 2.374, -0.694, 0.691, 1
2.427, 0.253, 0.514, 1.242, -0.393, 0
0.495, 2.94, -0.701, 0.4, -0.16, 0
1.108, 1.182, 0.35, -0.091, 0.077, 0
2.032, 0.524, 0.118, 0.152, -0.191, 0
0.435, 1.86, 0.716, -0.217, 0.127, 0
0.517, 1.513, 1.587, 1.471, -0.451, 1
0.223, 0.395, 0.399, 1.207, 1.386, 0
0.691, 1.179, 1.665, 0.682, -0.224, 0
0.503, 3.593, -0.575, 0.493, -0.17, 0
0.42, 0.862, 2.552, 1.104, -0.415, 0
0.891, 1.352, 1.66, 0.861, 0.854, 1
0.242, 1.661, 1.102, 0.4, -0.164, 0
3.055, 0.508, -0.123, -0.075, -0.049, 0
0.699, 1.203, 1.834, 0.804, 0.999, 1
0.104, 0.356, 0.453, 1.809, -1.037, 0
0.648, 0.754, 1.927, 1.265, -0.528, 1
1.152, 2.062, 0.808, 1.29, -0.369, 0
0.356, 0.847, -1.823, -0.464, -0.294, 0
0.89, 1.93, 1.45, 1.343, -0.285, 1
0.287, 0.938, 1.769, -0.593, -0.357, 1
0.685, 3.172, -0.565, 0.623, 0.39, 1
1.09, 1.212, 1.154, 0.432, 0.239, 1
2.763, 0.624, 0.157, 0.106, -0.06, 0
0.234, 1.459, 2.048, 1.016, 1.183, 0
0.589, 0.89, 1.737, 0.931, -0.557, 0
0.526, 2.483, 1.42, 0.622, 0.0, 0
0.123, 0.726, 0.707, 1.575, 0.0, 0
0.267, 1.309, 1.846, 0.741, -0.342, 0
2.522, 0.476, 0.192, 0.146, -0.051, 0
0.435, 2.408, 1.477, 0.701, 0.0, 0
0.219, 1.279, 2.585, -0.599, 0.462, 0
2.014, 0.545, -0.107, -0.06, -0.038, 0
0.314, 0.665, 0.361, 1.111, 0.659, 1
0.822, 1.043, 1.901, 1.127, 1.375, 1
0.519, 1.999, 2.438, -0.632, -0.309, 0
2.967, 1.482, 0.376, -0.13, -0.074, 0
0.378, 2.203, 1.577, 0.783, -0.34, 0
2.092, 1.178, 0.318, 0.242, -0.067, 0
0.162, 0.753, 0.951, 1.923, 0.0, 1
0.627, 2.967, -0.547, 1.082, -0.279, 1
0.431, 0.475, 1.736, 1.339, 1.742, 1
0.065, 0.279, 0.432, 1.497, -0.623, 0
0.487, 1.881, 1.522, 1.629, -0.476, 1
-0.32, -0.587, 1.347, -0.637, -0.47, 0
0.163, 0.544, 0.506, -0.782, 2.112, 0
1.125, 1.966, -0.354, -0.13, 0.135, 0
1.265, 2.212, -0.34, -0.167, 0.337, 0
1.167, 2.286, 0.792, 0.269, -0.134, 1
0.32, 1.827, 0.587, 0.23, -0.133, 0
0.229, 0.998, 2.236, -0.651, -0.296, 0
0.221, 0.754, 1.001, 1.235, 0.0, 1
0.431, 2.627, 1.902, -0.469, -0.194, 1
1.013, 2.31, 1.406, 0.748, -0.207, 1
2.038, 2.236, -0.452, -0.132, -0.083, 1
1.859, 0.81, 0.183, 0.158, 0.16, 0
0.218, 1.072, 1.943, -0.603, -0.226, 0
0.537, 1.104, 1.705, 1.35, 0.0, 1
2.942, 0.53, -0.105, 0.081, -0.041, 0
0.167, 0.364, 0.556, 0.324, 0.804, 0
0.196, 0.525, 0.651, 1.087, 2.552, 0
3.164, -0.263, -0.098, 0.069, -0.057, 0
1.4, 1.26, 0.292, 0.157, -0.167, 0
0.253, 0.406, 0.468, 1.568, 1.673, 0
3.169, 0.412, -0.148, -0.073, -0.045, 0
0.156, 0.464, 0.533, 0.801, -0.423, 1
0.458, 1.129, 0.473, -0.542, 1.27, 1
-0.104, 0.551, 1.352, 1.942, -0.836, 0
1.68, 2.342, -0.337, -0.138, 0.135, 0
0.593, 2.432, -0.471, 0.25, 0.214, 0
3.264, -0.306, -0.135, 0.101, 0.056, 0
0.386, 2.363, -0.524, 0.464, -0.173, 0
0.345, 2.155, -0.48, 0.318, -0.109, 0
0.729, 1.166, 1.935, 0.736, 1.285, 1
2.283, -0.2, 0.092, 0.071, -0.067, 0
0.226, 1.21, -0.274, 0.435, 0.55, 0
0.099, 0.378, 0.766, 0.692, 0.502, 1
0.179, 0.878, 0.698, 1.531, 0.0, 1
0.671, 0.593, 2.116, 1.026, 1.258, 1
0.435, 3.341, -0.518, -0.294, 0.625, 0
0.348, 0.918, 2.355, 1.037, 0.421, 0
0.607, 2.526, 1.618, -0.467, -0.205, 0
0.182, 0.515, 0.739, 1.773, 0.0, 1
0.236, 0.46, 2.043, 0.909, 0.646, 0
0.337, 1.18, 1.616, 0.741, -0.396, 0
0.339, 1.134, 2.134, -0.593, -0.27, 0
0.961, 1.678, 1.486, 0.932, 0.726, 1
0.463, 2.963, -0.63, 0.324, 0.991, 0
0.817, 1.094, -0.228, 0.143, -0.098, 0
0.202, 0.733, 0.89, -0.343, 1.266, 1
0.213, 0.962, 2.447, -0.78, 1.386, 1
0.122, 0.573, 1.393, 2.191, 0.0, 0
1.453, 2.15, -0.566, -0.182, -0.107, 0
0.305, 1.943, 1.757, 0.721, -0.35, 0
0.341, 1.223, 1.633, 1.285, 0.0, 1
0.736, 2.493, -0.363, 0.211, 0.145, 0
0.334, 0.442, 0.958, 2.175, -0.879, 0
0.89, 2.258, -0.475, -0.154, 0.224, 0
3.012, 1.408, 0.341, -0.123, -0.073, 0
0.1, 0.405, 0.58, 0.849, 0.939, 0
0.876, 3.241, -0.58, 0.551, 0.327, 0
0.534, 2.848, -0.663, -0.215, -0.118, 0
0.305, 0.599, 0.826, 1.921, -0.636, 1
-0.165, 1.809, 1.261, 0.59, 0.366, 0
2.074, 1.149, 0.493, 0.339, -0.134, 0
2.869, 1.077, 0.523, 0.5, -0.134, 0
-0.184, 0.485, -0.671, -0.982, 0.0, 1
0.061, 0.266, 0.403, 0.529, 1.194, 0
0.221, 0.609, 0.635, 0.71, 0.0, 0
2.444, 0.273, 0.139, 0.156, -0.063, 0
0.763, 3.172, -0.441, -0.194, -0.135, 0
0.816, 3.026, -0.454, -0.198, -0.133, 0
0.218, 1.432, 1.361, -0.408, 0.337, 0
0.716, 3.174, -0.412, -0.232, 0.504, 0
0.461, 0.809, 0.511, 1.196, 0.839, 1
1.509, 1.922, 0.539, 1.303, -0.333, 0
0.111, 0.452, 0.574, 1.57, 0.892, 1
0.108, 0.402, 0.264, -0.23, 0.0, 1
0.356, 0.551, 1.79, 1.089, 0.986, 0
0.158, 0.416, 0.499, 2.135, -0.893, 0
0.099, 0.472, 1.064, 1.996, -0.781, 0
0.269, 0.725, 2.656, 1.374, 0.893, 1
1.415, 1.529, -0.248, -0.101, 0.092, 0
0.441, 0.794, 1.914, 0.962, 1.607, 1
0.573, 0.733, 2.036, -0.445, 0.642, 1
0.215, 0.376, 0.637, 1.861, 1.246, 1
0.48, 0.656, 1.949, 1.496, 1.357, 1
0.096, 0.326, 0.449, 1.419, 1.145, 0
0.54, 2.787, -0.667, -0.242, -0.157, 0
0.983, 1.915, 1.802, -0.662, -0.197, 1
0.162, 1.153, 1.582, -0.687, 0.0, 0
0.567, 0.907, 1.464, -0.617, -0.492, 1
0.424, 0.428, 1.041, 1.114, 0.792, 0
0.278, 2.433, 1.106, 0.58, 0.271, 0
0.962, 1.664, 1.233, -0.71, 1.043, 1
0.898, 2.733, -0.381, -0.161, -0.106, 0
-0.152, 1.182, 2.085, -0.991, 0.0, 0
0.265, 0.819, 2.52, -0.627, -0.34, 0
-0.142, 0.613, 0.589, 1.203, -0.848, 1
0.465, 0.871, 1.689, 0.758, -0.313, 1
2.013, 2.143, -0.487, 0.522, 0.291, 0
0.675, 2.915, 0.996, 0.413, -0.177, 0
-0.132, 0.94, 2.238, 1.183, -0.413, 0
0.583, 0.594, 1.341, 0.676, 0.537, 1
0.171, 0.913, 0.815, 1.027, -0.347, 0
0.072, 0.333, 0.556, 0.507, 0.438, 0
1.092, 2.369, -0.402, -0.383, 0.898, 0
0.564, 0.46, 2.157, 0.906, 0.501, 1
0.321, 3.02, 1.304, 0.677, -0.201, 1
0.5, 0.731, 1.058, 1.347, -0.397, 1
0.29, 0.824, 2.081, -0.602, 0.402, 1
0.494, 2.442, -0.442, 0.233, -0.134, 0
0.421, 0.573, 1.775, 1.341, 1.099, 1
1.957, 1.436, -0.279, 0.232, -0.102, 0
0.236, 1.053, 2.285, -0.652, -0.303, 0
0.132, 0.588, 1.521, 1.318, -0.437, 0
-0.12, 1.159, 1.366, 0.598, -0.285, 0
0.257, 0.757, 1.331, 0.757, 1.26, 1
0.089, 0.706, 0.663, 0.406, 0.447, 0
0.356, 0.807, 1.508, 1.552, -1.006, 1
0.266, 1.055, 2.807, -0.819, 0.0, 0
2.761, 1.125, 1.297, -0.215, -0.097, 0
0.436, 2.86, 0.927, 1.081, -0.321, 1
0.41, 1.803, 1.288, 0.483, -0.278, 0
0.629, 2.94, -0.743, 0.313, 0.0, 0
1.439, 1.079, 0.316, 0.216, -0.099, 0
0.236, 0.772, 2.184, -0.608, 0.365, 1
0.137, 0.695, 1.079, 1.63, 0.0, 1
0.814, 0.334, 2.258, -0.651, -0.394, 1
0.228, 0.46, 1.628, 1.282, 0.712, 0
0.367, 0.416, 1.871, 1.073, 0.757, 1
0.226, 1.816, -0.381, 0.327, -0.119, 0
0.216, 1.037, 2.259, -0.65, 0.0, 0
0.233, 0.632, 0.642, 0.724, 0.0, 0
1.037, 1.78, -0.256, -0.107, 0.097, 0
0.236, 1.165, 2.107, -0.919, -0.514, 0
2.254, 1.491, 0.895, 0.624, -0.185, 0
0.984, 2.097, 1.249, 0.781, -0.23, 1
0.517, 2.602, 1.078, 0.534, -0.177, 0
0.339, 0.933, 1.327, -0.334, -0.194, 0
3.041, 0.446, -0.122, 0.089, 0.077, 0
0.361, 1.791, 0.522, 0.264, 0.132, 0
2.064, 0.657, -0.111, 0.107, 0.074, 0
0.128, 0.598, 0.394, 0.602, 1.315, 1
-0.067, -0.286, -0.585, 1.797, -0.687, 1
0.365, 0.526, 2.424, 0.918, 0.957, 1
0.679, 0.656, 1.835, 1.737, 0.847, 1
1.037, 2.405, -0.368, -0.16, -0.101, 0
0.326, 0.457, 1.856, 1.601, 1.48, 1
0.453, 1.001, 2.247, -0.508, -0.21, 0
0.333, 1.645, 1.533, 0.638, 0.0, 0
0.456, 2.64, -0.604, -0.238, -0.123, 0
0.714, 1.3, 1.784, -0.571, -0.206, 0
2.41, 0.29, 0.153, 0.162, -0.062, 0
0.253, 0.406, 0.468, 1.567, 1.672, 0
1.549, 2.37, -0.361, 0.215, 0.596, 0
2.843, 0.346, 0.273, 0.154, -0.08, 0
0.209, 0.543, 0.432, 1.936, -0.74, 1
-0.323, 0.674, 1.197, -0.9, -0.738, 1
0.504, 1.435, 1.551, -0.378, -0.239, 1
0.34, 0.428, 1.703, 1.236, 1.018, 0
1.973, 1.483, -0.319, 0.222, -0.101, 0
-0.195, 0.854, 1.671, -0.779, -0.477, 1
2.918, 0.315, -0.926, 0.508, -0.253, 0
0.149, 0.355, 0.516, 1.416, 0.0, 0
0.42, 3.096, -0.604, 0.416, -0.231, 0
0.58, 2.975, -0.631, -0.255, -0.169, 0
0.078, 0.338, 0.465, -0.538, -1.026, 0
1.378, 1.088, 0.484, -0.126, 0.229, 0
0.27, 2.773, -0.448, 0.247, 0.156, 0
0.31, 0.502, 1.452, 1.496, 1.734, 1
-0.106, 0.556, 0.961, 1.628, -0.863, 0
0.675, 2.148, -0.462, -0.216, -0.12, 0
0.56, 1.978, 0.739, 0.354, 0.2, 0
1.857, 1.077, 1.08, -0.289, 0.194, 0
0.21, 1.195, 1.902, -0.557, 0.0, 0
0.127, 0.724, 0.292, 0.52, 0.0, 1
0.43, 2.541, 1.083, -0.482, 0.0, 0
0.187, 1.129, 1.521, -0.565, -0.21, 0
0.443, 0.99, 1.752, 0.943, 0.927, 1
1.134, 1.628, 1.065, 0.4, 0.601, 0
0.058, 0.245, 0.368, -0.427, 0.0, 0
0.204, 1.772, 0.672, 0.336, 0.0, 0
0.899, 2.203, -0.392, -0.202, 0.25, 0
0.688, 1.433, 0.86, -0.289, 0.169, 0
1.593, 0.577, 0.174, 0.153, 0.075, 0
0.201, 0.424, 0.782, 2.001, 0.0, 1
2.697, -0.221, 0.159, 0.091, 0.078, 0
0.174, 1.058, 2.666, -0.748, 0.448, 0
2.652, 0.972, 0.252, 0.083, -0.052, 0
0.542, 1.011, 1.81, 0.796, 1.37, 1
2.366, 1.188, 0.384, 1.008, -0.275, 0
3.36, 0.643, 0.342, 0.697, -0.178, 0
2.898, 0.474, 1.043, -0.234, -0.099, 0
0.587, 1.028, 1.768, 0.56, -0.322, 0
1.224, 1.274, 2.311, -0.488, -0.188, 0
0.271, 1.024, 2.694, -0.854, 0.656, 0
0.384, 0.425, 1.9, 1.008, -0.408, 1
0.226, 0.609, 0.58, 1.347, 0.0, 1
0.184, 0.813, 1.764, 1.109, 0.0, 0
0.074, 0.352, 0.808, 1.879, -0.616, 1
-0.115, 0.482, -0.579, -0.875, 0.0, 1
0.315, 1.126, 1.037, 1.181, 1.419, 1
0.559, 2.887, -0.677, 0.487, 0.942, 0
0.646, 2.708, -0.576, 0.369, 0.56, 1
2.925, 1.489, -0.244, 0.509, -0.197, 0
0.628, 1.575, -0.285, 0.148, -0.066, 0
0.389, 1.798, -0.414, -0.153, -0.105, 0
0.671, 1.885, 1.554, 0.742, 1.02, 1
0.198, 0.67, 0.768, -0.384, 1.48, 1
1.304, 2.081, -0.348, -0.199, 0.177, 0
0.099, 0.466, 1.088, 1.861, 0.0, 0
1.988, 0.97, 0.184, 0.141, 0.128, 0
0.966, 1.848, 1.467, 0.741, 0.612, 1
0.422, 1.671, 1.491, 0.617, 0.503, 0
0.659, 1.461, 1.744, 0.666, -0.268, 0
1.894, 0.463, 0.43, 0.257, 0.292, 0
0.407, 2.613, 2.02, -0.406, -0.186, 1
0.064, 0.279, 0.342, -0.607, 2.128, 0
0.528, 1.671, 1.743, 1.062, -0.239, 1
0.229, 2.527, -0.58, 0.246, 0.162, 0
0.123, 0.915, 0.777, 1.984, -0.806, 1
1.633, 1.148, 0.444, -0.309, 1.274, 0
0.193, 1.147, 1.688, -0.523, -0.188, 0
2.841, 0.346, 0.273, 0.154, -0.079, 0
0.207, 0.309, 0.63, 1.796, 1.316, 1
2.815, 0.989, 0.485, 0.537, 0.408, 0
0.385, 2.497, 0.684, 0.532, -0.406, 0
0.106, 0.767, 1.795, 0.842, 0.416, 0
0.14, 0.847, 2.251, -0.703, -0.562, 0
1.909, 1.432, 0.26, 0.129, -0.074, 0
0.284, 1.099, 2.571, -0.796, 0.434, 0
0.825, 2.156, 1.007, 1.281, -0.436, 1
0.336, 1.17, 1.625, 0.783, -0.39, 0
1.798, 1.78, -0.332, -0.14, -0.103, 0
2.515, 0.35, 0.845, 1.463, -0.372, 0
0.284, 0.923, 0.672, 0.668, 0.874, 1
0.412, 1.746, -0.37, -0.183, -0.103, 0
0.161, 0.678, 0.809, 2.134, -0.854, 1
0.612, 0.593, 1.924, 1.406, 1.257, 1
0.501, 2.669, -0.603, 0.308, -0.146, 0
3.258, 0.541, 0.207, -0.17, 0.648, 0
0.281, 2.246, 0.648, 0.255, 0.281, 0
1.313, 1.232, 0.433, 0.375, -0.391, 0
0.136, 0.679, 0.46, 0.663, 0.73, 0
0.567, 1.886, 1.179, 0.363, -0.154, 0
0.122, 0.434, 1.069, 2.338, 0.0, 0
0.327, 1.618, -0.42, 0.321, -0.126, 0
0.068, 0.272, 0.47, 1.286, 0.0, 0
1.347, 0.967, -0.186, 0.094, 0.0, 0
1.398, 1.223, 0.327, 0.217, -0.1, 0
0.61, 2.82, 0.866, -0.317, 0.971, 0
0.148, 0.672, 1.092, 1.526, 0.648, 1
2.391, 0.639, -0.107, 0.13, -0.053, 0
0.426, 1.016, 0.8, 1.009, -0.356, 1
1.524, 1.948, -0.282, -0.127, -0.097, 0
1.482, 2.23, -0.55, -0.209, -0.117, 0
0.896, 1.979, 0.586, -0.279, 1.408, 0
0.124, 0.755, 2.184, -0.89, 0.0, 0
0.118, 0.542, 0.738, 0.954, 1.411, 1
0.218, 1.486, 0.742, 0.661, -0.224, 0
1.974, 0.311, -0.082, 0.072, -0.091, 0
0.729, 2.055, -0.436, -0.183, 0.165, 0
2.255, 1.117, 0.414, 0.448, -0.257, 0
1.878, 0.892, 0.76, 1.609, -0.446, 0
2.51, -0.217, 0.213, 0.159, -0.092, 0
0.24, 0.705, 1.527, 1.91, -0.567, 0
0.674, 2.3, 0.971, 0.315, -0.161, 0
0.735, 2.417, -0.431, -0.19, 0.202, 0
0.351, 1.331, 1.073, 0.488, -0.213, 0
1.03, 1.402, 1.403, -0.409, 1.116, 1
0.135, 0.768, 0.322, 0.546, 0.0, 1
2.303, 1.264, 0.682, -0.171, 0.19, 0
0.71, 2.326, -0.557, -0.203, 0.0, 0
