@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
1.567, 0.867, 1.3, 1.041, 0.559, 0
0.303, 0.609, 0.474, 1.427, -0.811, 1
1.039, 2.271, 1.699, -0.369, -0.168, 1
0.6, 1.405, 2.477, -0.701, -0.272, 1
0.648, 2.479, 1.064, -0.317, 0.0, 0
0.125, 0.548, 0.795, 0.836, 0.0, 1
0.362, 0.688, 1.513, 0.699, 0.52, 1
0.155, 0.514, 0.49, -0.625, 0.0, 0
0.105, 0.594, 0.326, -0.808, 0.0, 1
0.82, 2.083, 0.492, 0.283, -0.19, 0
0.734, 0.647, 1.387, 0.556, 0.451, 1
0.887, 2.167, 0.646, 0.475, 1.125, 0
3.177, -0.275, -0.111, 0.09, -0.074, 0
1.901, 0.502, 0.188, 0.151, -0.152, 0
0.184, 0.496, 0.514, 1.117, 1.106, 1
0.302, 0.581, 2.031, 1.122, 1.408, 1
3.698, 0.437, -0.109, -0.082, -0.042, 0
0.079, 0.274, 0.403, 1.157, 1.638, 0
0.209, 0.463, 0.654, 1.13, 0.0, 1
0.324, 0.917, 1.098, 2.418, -0.86, 1
0.389, 3.191, -0.499, -0.204, -0.136, 0
1.328, 1.955, -0.489, 0.2, 0.256, 0
1.314, 2.129, -0.441, 0.434, 1.019, 0
0.486, 1.117, 0.534, -0.587, 1.164, 1
1.128, 0.804, -0.156, 0.109, 0.0, 0
0.231, 1.566, 1.314, 0.474, -0.253, 0
0.586, 2.408, -0.62, -0.267, -0.166, 0
0.212, 1.237, 0.848, 1.092, -0.437, 0
0.28, 0.552, 0.725, 1.926, -0.783, 1
0.19, 0.987, 2.322, -0.656, -0.279, 0
0.136, 0.766, -0.584, 2.249, 0.0, 1
0.71, 3.162, -0.393, -0.255, 0.662, 0
0.454, 0.779, 1.472, 1.167, -0.397, 1
0.369, 1.313, 1.405, -0.574, -0.313, 1
0.302, 0.915, 2.528, -0.668, -0.52, 1
0.449, 1.903, -0.309, 0.223, -0.09, 0
0.319, 1.027, 2.416, 1.356, 0.0, 0
1.051, 2.063, -0.427, 0.231, -0.132, 0
0.744, 1.505, 0.909, 0.437, 0.231, 0
1.972, 2.6, -0.411, 0.303, 0.2, 0
0.352, 1.16, 1.638, 0.621, -0.535, 0
0.505, 1.929, 2.448, -0.626, -0.321, 0
0.132, 0.456, 0.442, -0.498, 1.078, 1
0.436, 0.614, 0.964, 2.308, -0.968, 0
0.332, 1.281, 0.901, 1.925, -0.568, 1
1.188, 2.725, -0.47, -0.186, 0.39, 0
2.222, 1.239, 0.352, 0.147, -0.095, 0
1.214, 1.716, -0.243, -0.108, 0.1, 0
0.77, 2.496, -0.402, 0.24, 0.163, 0
0.27, 0.667, 1.827, 1.038, -0.456, 0
3.325, 0.688, -0.133, -0.089, -0.056, 0
0.152, 0.336, 0.45, -0.608, 1.78, 0
1.204, 0.779, 0.25, -0.105, 0.122, 0
