@relation phoneme
@attribute Aa real [-1.7, 4.107]
@attribute Ao real [-1.327, 4.378]
@attribute Dcl real [-1.823, 3.199]
@attribute Iy real [-1.581, 2.826]
@attribute Sh real [-1.284, 2.719]
@attribute Class {0, 1}
@inputs Aa, Ao, Dcl, Iy, Sh
@outputs Class
@data
0.268, 1.352, 1.035, -0.332, 0.217, 0
0.401, 1.159, 2.064, -0.69, -0.308, 0
0.541, 2.145, -0.562, -0.228, -0.141, 1
0.626, 2.317, 0.766, 0.411, -0.305, 0
1.055, 1.185, 0.293, 0.182, -0.141, 0
0.273, 2.018, 1.768, 0.697, 0.0, 0
-0.073, -0.25, -0.445, 1.539, -1.184, 1
0.371, 2.324, -0.456, -0.168, -0.083, 0
1.905, 0.487, -0.127, 0.079, 0.072, 0
0.693, 1.713, -0.478, -0.221, -0.156, 0
2.389, 0.639, -0.107, 0.13, -0.053, 0
0.289, 0.832, 1.765, 0.835, 0.489, 0
1.312, 1.232, 0.433, 0.375, -0.391, 0
0.565, 3.345, -0.606, 0.751, -0.27, 0
-0.115, 0.697, 1.321, 1.713, 0.0, 1
0.232, 1.298, 1.482, -0.482, -0.259, 0
-0.164, 1.49, 1.931, 0.699, 0.0, 0
0.264, 1.209, 2.464, -0.669, -0.305, 0
-0.993, -0.805, -0.294, -0.151, -0.112, 0
0.297, 0.661, 2.416, -0.789, 1.02, 1
1.127, 2.254, -0.299, 0.172, -0.16, 0
1.146, 1.426, 1.665, -0.464, 0.846, 1
0.56, 1.341, 1.919, -0.489, -0.206, 0
0.296, 1.085, 2.155, -0.596, -0.31, 1
2.102, 0.355, -0.092, 0.095, -0.047, 0
0.152, 0.824, 1.225, 2.058, 0.0, 0
0.745, 2.821, -0.503, -0.249, 0.884, 0
0.087, 0.302, 0.304, 0.535, 0.0, 0
0.383, 2.973, -0.529, -0.241, -0.153, 0
0.295, 0.921, 1.125, 1.018, 0.0, 1
0.144, 0.335, 0.474, 1.668, 0.0, 0
0.169, 1.441, 1.267, 0.545, -0.214, 0
0.363, 0.802, 1.001, 1.568, -0.936, 1
