@relation vowel
@attribute TT integer [0, 1]
@attribute SpeakerNumber integer [0, 14]
@attribute Sex integer [0, 1]
@attribute F0 real [-5.211, -0.941]
@attribute F1 real [-1.274, 5.074]
@attribute F2 real [-2.487, 1.431]
@attribute F3 real [-1.409, 2.377]
@attribute F4 real [-2.127, 1.831]
@attribute F5 real [-0.836, 2.327]
@attribute F6 real [-1.537, 1.403]
@attribute F7 real [-1.293, 2.039]
@attribute F8 real [-1.613, 1.309]
@attribute F9 real [-1.68, 1.396]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@inputs TT, SpeakerNumber, Sex, F0, F1, F2, F3, F4, F5, F6, F7, F8, F9
@outputs Class
@data
0, 0, 0, -3.624, 0.305, -0.708, 1.758, -0.194, 1.675, -0.273, 0.561, -0.577, -0.843, 0
0, 0, 0, -2.724, 2.067, -1.142, 0.923, -1.157, 1.17, -0.276, 0.172, -0.0080, -0.649, 4
0, 0, 0, -3.459, 2.086, -0.595, 0.937, -1.841, 0.6, 0.457, 0.4, 0.473, -0.211, 6
0, 0, 0, -3.171, 0.49, -1.128, 0.911, -0.388, 2.014, -0.212, 0.707, -0.551, -0.187, 1
0, 0, 0, -4.238, 2.437, 0.036, 1.158, -2.127, 0.554, 0.12, 0.823, 0.565, -0.293, 7
0, 0, 0, -3.546, 1.258, -1.227, 0.823, -0.702, 1.734, -0.397, 1.333, -0.277, 0.013, 8
0, 1, 0, -4.102, 0.209, 0.414, 0.423, 0.985, 1.434, 0.663, 0.036, -0.784, -0.668, 0
0, 1, 0, -1.657, 0.056, -1.044, -0.32, -0.316, 1.321, 0.638, 0.8, 0.298, -0.159, 1
0, 1, 0, -1.945, 0.352, -1.053, -0.228, -0.12, 0.927, 0.088, 0.509, -0.279, -0.246, 2
0, 1, 0, -2.05, 0.065, -0.938, -0.037, 0.082, 1.561, 0.393, 0.835, -0.029, -0.394, 1
0, 1, 0, -3.105, 2.916, -0.207, 0.031, -0.897, 0.021, -0.229, 0.256, 1.073, -0.065, 6
0, 1, 0, -2.489, 1.773, -0.18, -0.152, -0.353, 0.133, -0.186, 0.207, 0.788, -0.285, 5
0, 2, 0, -1.077, 0.511, -2.006, 0.305, -0.584, 1.962, 0.089, 1.406, -0.669, -0.027, 1
0, 2, 0, -2.432, 2.126, -0.218, 1.422, -1.169, 0.41, -0.393, 1.326, -0.067, 0.225, 4
0, 2, 0, -2.679, 1.731, -0.09, 2.003, -1.009, 0.038, -0.822, 1.232, 0.128, 0.72, 6
0, 2, 0, -2.624, 1.653, -0.156, 2.023, -1.052, 0.086, -0.752, 1.341, 0.196, 0.71, 6
0, 2, 0, -2.562, 1.361, -0.94, 1.333, -1.047, 1.208, -0.316, 1.055, 0.354, -0.77, 10
0, 2, 0, -1.512, 1.492, -1.053, 1.262, -0.809, 0.941, -0.122, 0.807, -0.206, 0.145, 3
0, 3, 0, -3.169, 1.041, 0.509, 0.693, -1.185, 0.673, -0.352, 0.877, 0.434, 1.009, 8
0, 3, 0, -2.483, 0.81, 0.185, 0.284, -0.917, 0.73, -0.111, 0.613, 0.373, 0.184, 10
0, 3, 0, -1.45, 0.199, -1.127, -0.281, -0.372, 1.287, 0.369, 0.855, 0.303, -0.385, 1
0, 3, 0, -1.79, 0.793, -1.041, 0.214, 0.215, 0.694, 0.121, 0.583, -0.403, -0.487, 2
0, 3, 0, -2.089, 1.695, -0.528, -0.232, 0.385, -0.137, 0.033, 0.071, 0.033, -0.744, 3
0, 3, 0, -2.314, 1.494, 0.294, 0.245, -0.769, 0.05, -0.068, 0.819, 0.618, -0.572, 5
0, 3, 0, -2.608, 0.839, 0.203, 0.305, -0.851, 0.78, -0.143, 0.607, 0.344, 0.106, 10
0, 3, 0, -2.933, 0.717, 0.829, 1.508, -0.517, 0.069, -1.163, 0.021, 0.866, 1.066, 6
0, 3, 0, -3.53, 1.268, 0.903, 1.887, -1.279, 0.0080, -1.441, 0.657, 0.873, 1.042, 7
0, 3, 0, -2.804, 1.021, 0.254, 0.331, -0.654, 0.854, -0.085, 0.678, 0.259, -0.031, 10
0, 4, 1, -1.577, 0.907, -0.291, 0.0070, -0.256, -0.233, 0.187, -0.052, -0.627, 0.238, 3
0, 4, 1, -3.439, 2.711, 1.067, 0.029, -1.12, -0.212, 0.062, 1.44, -0.353, -0.42, 6
0, 4, 1, -3.689, -0.599, 0.692, 1.307, 0.605, 1.514, -0.752, -0.697, -0.355, 0.702, 0
0, 4, 1, -3.278, 0.324, 1.047, 1.152, 0.725, 0.168, -0.839, -0.381, -0.687, 0.013, 1
