@relation vowel
@attribute TT integer [0, 1]
@attribute SpeakerNumber integer [0, 14]
@attribute Sex integer [0, 1]
@attribute F0 real [-5.211, -0.941]
@attribute F1 real [-1.274, 5.074]
@attribute F2 real [-2.487, 1.431]
@attribute F3 real [-1.409, 2.377]
@attribute F4 real [-2.127, 1.831]
@attribute F5 real [-0.836, 2.327]
@attribute F6 real [-1.537, 1.403]
@attribute F7 real [-1.293, 2.039]
@attribute F8 real [-1.613, 1.309]
@attribute F9 real [-1.68, 1.396]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@inputs TT, SpeakerNumber, Sex, F0, F1, F2, F3, F4, F5, F6, F7, F8, F9
@outputs Class
@data
0, 0, 0, -3.482, 2.524, -0.433, 1.048, -1.995, 0.902, 0.322, 0.45, 0.377, -0.366, 6
0, 0, 0, -3.604, 0.235, -0.836, 1.786, -0.153, 1.642, -0.096, 0.488, -0.524, -1.003, 0
0, 1, 0, -2.654, 2.39, -0.0080, 0.07, -1.063, 0.304, -0.105, 0.281, 0.488, -0.382, 4
0, 1, 0, -2.67, 2.696, -0.231, -0.028, -1.014, 0.486, -0.137, 0.448, 0.285, -0.482, 4
0, 1, 0, -4.267, 3.01, 0.172, 0.028, -0.827, 0.532, 0.099, 0.326, 0.34, 0.696, 8
0, 1, 0, -1.856, 0.063, -1.011, -0.238, -0.152, 1.461, 0.572, 0.775, 0.154, -0.31, 1
0, 1, 0, -2.748, 3.217, -0.976, -0.213, -0.792, 0.771, -0.032, 0.223, 0.043, -0.825, 4
0, 2, 0, -3.972, 2.279, -0.62, 0.954, -1.09, 0.719, 0.717, 0.3, 1.309, 0.171, 9
0, 2, 0, -3.836, 3.699, -0.225, 1.52, -1.729, -0.184, 0.064, 0.97, 0.5, -0.13, 7
0, 2, 0, -1.417, -0.319, -2.254, 1.072, -0.221, 2.268, 0.43, 0.923, -1.486, -0.698, 0
0, 2, 0, -1.22, 0.831, -1.674, 0.94, -0.425, 1.463, -0.063, 1.135, -0.422, 0.06, 2
0, 2, 0, -1.501, 1.611, -1.003, 1.156, -0.883, 0.901, -0.169, 0.862, -0.151, 0.164, 3
0, 2, 0, -3.763, 3.252, -0.262, 1.52, -1.684, -0.225, 0.235, 0.989, 0.616, 0.046, 7
0, 2, 0, -1.824, 1.682, -0.669, 1.483, -1.036, 0.711, -0.249, 1.193, -0.274, 0.224, 5
0, 2, 0, -2.574, 1.814, -0.167, 1.826, -1.156, 0.12, -0.609, 1.543, 0.11, 0.75, 6
0, 3, 0, -3.601, 0.742, -0.238, 0.332, -0.561, 1.275, -0.014, 0.844, 0.558, 0.659, 9
0, 3, 0, -2.007, 1.814, -0.581, -0.027, 0.127, 0.081, 0.089, -0.016, 0.115, -0.719, 3
0, 3, 0, -3.772, 0.904, -0.195, 0.317, -0.473, 1.31, -0.043, 0.898, 0.536, 0.503, 9
0, 3, 0, -2.531, 1.802, 0.739, 0.236, -1.169, -0.069, -0.349, 0.903, 0.123, -0.119, 4
0, 3, 0, -3.576, 1.357, 0.912, 1.878, -1.166, 0.039, -1.537, 0.658, 0.843, 1.087, 7
0, 3, 0, -3.155, 1.021, 0.455, 0.624, -1.306, 0.842, -0.123, 0.909, 0.328, 0.876, 8
0, 3, 0, -4.394, 1.162, 0.157, 0.608, -0.409, 1.352, -0.243, 0.758, 0.447, 0.096, 9
0, 3, 0, -3.246, 0.712, 0.39, 0.82, -1.352, 1.074, 0.197, 0.857, -0.056, 0.485, 8
