@relation yeast
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.5, 0.54, 0.48, 0.65, 0.5, 0.0, 0.53, 0.22, MIT
0.6, 0.4, 0.52, 0.46, 0.5, 0.0, 0.53, 0.22, MIT
0.43, 0.44, 0.48, 0.22, 0.5, 0.0, 0.51, 0.22, CYT
0.41, 0.54, 0.39, 0.2, 0.5, 0.0, 0.51, 0.22, ME3
0.37, 0.32, 0.47, 0.18, 0.5, 0.0, 0.45, 0.25, NUC
0.48, 0.43, 0.51, 0.32, 0.5, 0.0, 0.52, 0.43, NUC
0.41, 0.46, 0.59, 0.19, 0.5, 0.0, 0.58, 0.27, NUC
0.54, 0.48, 0.44, 0.08, 0.5, 0.0, 0.52, 0.27, CYT
0.67, 0.62, 0.4, 0.43, 0.5, 0.83, 0.5, 0.22, MIT
0.64, 0.57, 0.57, 0.27, 0.5, 0.0, 0.37, 0.22, CYT
0.62, 0.51, 0.52, 0.42, 0.5, 0.0, 0.54, 0.27, NUC
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, CYT
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, CYT
0.26, 0.5, 0.33, 0.28, 0.5, 0.0, 0.51, 0.22, ME3
0.21, 0.41, 0.55, 0.11, 0.5, 0.0, 0.5, 0.27, CYT
0.39, 0.4, 0.53, 0.67, 0.5, 0.0, 0.47, 0.22, CYT
0.75, 0.7, 0.38, 0.27, 0.5, 0.0, 0.49, 0.22, ME1
0.57, 0.57, 0.44, 0.37, 0.5, 0.0, 0.52, 0.25, MIT
0.55, 0.45, 0.45, 0.54, 0.5, 0.0, 0.5, 0.22, MIT
0.53, 0.53, 0.6, 0.13, 0.5, 0.0, 0.49, 0.22, MIT
0.34, 0.42, 0.3, 0.23, 0.5, 0.0, 0.53, 0.22, ME3
0.41, 0.24, 0.54, 0.26, 0.5, 0.0, 0.41, 0.22, NUC
0.43, 0.39, 0.54, 0.14, 0.5, 0.0, 0.47, 0.22, NUC
0.5, 0.51, 0.52, 0.09, 0.5, 0.0, 0.48, 0.25, NUC
0.46, 0.35, 0.53, 0.16, 0.5, 0.0, 0.51, 0.29, CYT
0.45, 0.56, 0.54, 0.32, 0.5, 0.0, 0.57, 0.22, CYT
0.57, 0.59, 0.44, 0.16, 0.5, 0.0, 0.52, 0.22, ME2
0.77, 0.8, 0.51, 0.4, 1.0, 0.0, 0.54, 0.22, ERL
0.81, 0.82, 0.41, 0.36, 0.5, 0.0, 0.39, 0.22, EXC
0.44, 0.51, 0.37, 0.15, 0.5, 0.0, 0.51, 0.22, ME3
0.44, 0.44, 0.49, 0.15, 0.5, 0.0, 0.46, 0.27, NUC
0.32, 0.38, 0.52, 0.2, 0.5, 0.0, 0.52, 0.28, CYT
0.56, 0.54, 0.59, 0.14, 0.5, 0.0, 0.52, 0.27, NUC
0.27, 0.51, 0.47, 0.35, 0.5, 0.0, 0.49, 0.28, NUC
0.49, 0.31, 0.34, 0.13, 0.5, 0.0, 0.52, 0.22, ME3
0.49, 0.47, 0.52, 0.16, 0.5, 0.0, 0.53, 0.28, CYT
0.74, 0.53, 0.5, 0.08, 0.5, 0.0, 0.55, 0.31, CYT
0.55, 0.41, 0.56, 0.21, 0.5, 0.0, 0.52, 0.22, CYT
0.5, 0.45, 0.49, 0.15, 0.5, 0.0, 0.55, 0.43, NUC
0.37, 0.62, 0.34, 0.25, 0.5, 0.0, 0.51, 0.22, ME3
0.38, 0.46, 0.52, 0.75, 0.5, 0.0, 0.5, 0.26, MIT
0.34, 0.4, 0.3, 0.23, 0.5, 0.0, 0.51, 0.22, ME3
0.59, 0.57, 0.46, 0.14, 0.5, 0.0, 0.52, 0.22, MIT
0.35, 0.53, 0.35, 0.33, 0.5, 0.0, 0.5, 0.32, ME3
0.67, 0.63, 0.34, 0.41, 0.5, 0.0, 0.6, 0.33, ME1
0.54, 0.51, 0.54, 0.52, 0.5, 0.0, 0.47, 0.25, MIT
0.84, 0.63, 0.38, 0.23, 0.5, 0.0, 0.53, 0.22, EXC
0.54, 0.54, 0.49, 0.14, 0.5, 0.0, 0.56, 0.22, CYT
0.53, 0.44, 0.47, 0.22, 0.5, 0.0, 0.53, 0.22, NUC
0.49, 0.62, 0.65, 0.18, 0.5, 0.0, 0.46, 0.43, NUC
0.48, 0.51, 0.57, 0.24, 0.5, 0.0, 0.5, 0.22, CYT
0.41, 0.41, 0.51, 0.19, 0.5, 0.0, 0.57, 0.22, MIT
0.4, 0.53, 0.61, 0.21, 0.5, 0.0, 0.48, 0.33, NUC
0.4, 0.68, 0.5, 0.82, 0.5, 0.0, 0.44, 0.36, MIT
0.57, 0.4, 0.62, 0.3, 0.5, 0.0, 0.48, 0.11, MIT
0.6, 0.51, 0.6, 0.38, 0.5, 0.83, 0.52, 0.24, MIT
0.36, 0.38, 0.56, 0.44, 0.5, 0.0, 0.48, 0.22, MIT
0.53, 0.52, 0.61, 0.35, 0.5, 0.0, 0.5, 0.22, MIT
0.54, 0.64, 0.5, 0.13, 0.5, 0.0, 0.49, 0.22, MIT
0.43, 0.32, 0.5, 0.29, 0.5, 0.0, 0.5, 0.22, MIT
0.51, 0.56, 0.62, 0.24, 0.5, 0.0, 0.52, 0.51, NUC
0.46, 0.46, 0.56, 0.12, 0.5, 0.0, 0.55, 0.22, MIT
0.43, 0.4, 0.5, 0.18, 0.5, 0.0, 0.5, 0.28, CYT
0.47, 0.59, 0.37, 0.31, 0.5, 0.0, 0.51, 0.36, NUC
0.48, 0.62, 0.52, 0.3, 0.5, 0.0, 0.51, 0.37, NUC
0.53, 0.61, 0.51, 0.49, 0.5, 0.0, 0.54, 0.27, MIT
0.78, 0.65, 0.4, 0.16, 0.5, 0.0, 0.63, 0.22, MIT
0.58, 0.51, 0.56, 0.16, 0.5, 0.0, 0.34, 0.22, NUC
0.49, 0.27, 0.57, 0.18, 0.5, 0.83, 0.54, 0.22, POX
0.68, 0.59, 0.44, 0.49, 0.5, 0.0, 0.4, 0.26, POX
0.62, 0.43, 0.49, 0.29, 0.5, 0.0, 0.5, 0.27, CYT
0.28, 0.36, 0.55, 0.15, 0.5, 0.0, 0.57, 0.22, CYT
0.45, 0.4, 0.43, 0.22, 0.5, 0.0, 0.51, 0.48, NUC
0.74, 0.71, 0.52, 0.3, 0.5, 0.0, 0.27, 0.22, EXC
0.4, 0.39, 0.33, 0.17, 0.5, 0.0, 0.51, 0.31, VAC
0.49, 0.48, 0.52, 0.2, 0.5, 0.0, 0.55, 0.22, NUC
0.33, 0.21, 0.53, 0.15, 1.0, 0.0, 0.52, 0.5, NUC
0.81, 0.55, 0.35, 0.34, 0.5, 0.0, 0.51, 0.22, ME2
0.48, 0.5, 0.56, 0.11, 0.5, 0.0, 0.33, 0.22, CYT
0.61, 0.39, 0.53, 0.14, 0.5, 0.0, 0.43, 0.26, NUC
0.48, 0.47, 0.59, 0.41, 0.5, 0.0, 0.56, 0.27, NUC
0.49, 0.49, 0.51, 0.29, 0.5, 0.0, 0.52, 0.71, NUC
0.41, 0.52, 0.51, 0.22, 0.5, 0.0, 0.52, 0.44, NUC
0.49, 0.67, 0.5, 0.28, 0.5, 0.0, 0.43, 0.22, NUC
0.34, 0.58, 0.5, 0.26, 0.5, 0.0, 0.51, 0.22, NUC
0.42, 0.21, 0.59, 0.3, 0.5, 0.0, 0.47, 0.27, NUC
0.35, 0.4, 0.44, 0.25, 0.5, 0.0, 0.53, 0.57, NUC
0.61, 0.38, 0.57, 0.36, 0.5, 0.0, 0.44, 0.21, CYT
0.51, 0.39, 0.58, 0.19, 0.5, 0.0, 0.47, 0.22, CYT
0.38, 0.44, 0.55, 0.44, 0.5, 0.0, 0.47, 0.51, NUC
0.44, 0.5, 0.55, 0.24, 0.5, 0.0, 0.48, 0.22, NUC
0.29, 0.4, 0.5, 0.16, 0.5, 0.0, 0.51, 0.34, NUC
0.35, 0.33, 0.48, 0.42, 0.5, 0.0, 0.47, 0.43, CYT
0.44, 0.56, 0.52, 0.18, 0.5, 0.0, 0.5, 0.11, CYT
0.42, 0.49, 0.49, 0.36, 0.5, 0.0, 0.57, 0.26, MIT
0.44, 0.62, 0.53, 0.27, 0.5, 0.0, 0.49, 0.22, NUC
0.52, 0.43, 0.61, 0.22, 0.5, 0.0, 0.45, 0.22, CYT
0.52, 0.43, 0.61, 0.22, 0.5, 0.0, 0.45, 0.22, CYT
0.52, 0.54, 0.47, 0.49, 0.5, 0.0, 0.54, 0.22, MIT
0.46, 0.42, 0.51, 0.16, 0.5, 0.0, 0.56, 0.22, CYT
0.6, 0.51, 0.49, 0.18, 0.5, 0.0, 0.53, 0.38, CYT
0.55, 0.55, 0.52, 0.13, 0.5, 0.0, 0.53, 0.25, CYT
0.34, 0.46, 0.52, 0.19, 0.5, 0.0, 0.53, 0.26, CYT
0.44, 0.71, 0.5, 0.21, 0.5, 0.0, 0.54, 0.27, CYT
0.39, 0.3, 0.63, 0.2, 0.5, 0.0, 0.43, 0.47, CYT
0.47, 0.52, 0.54, 0.25, 0.5, 0.0, 0.54, 0.29, MIT
0.52, 0.55, 0.39, 0.09, 1.0, 0.0, 0.55, 0.25, ME3
0.7, 0.78, 0.53, 0.24, 0.5, 0.0, 0.48, 0.22, VAC
0.7, 0.57, 0.34, 0.19, 0.5, 0.0, 0.53, 0.27, ME2
0.45, 0.65, 0.51, 0.17, 0.5, 0.0, 0.49, 0.22, NUC
0.25, 0.35, 0.22, 0.18, 0.5, 0.0, 0.46, 0.22, ME3
0.55, 0.47, 0.53, 0.2, 0.5, 0.0, 0.4, 0.22, NUC
0.25, 0.33, 0.48, 0.18, 0.5, 0.0, 0.42, 0.33, NUC
0.55, 0.46, 0.47, 0.15, 0.5, 0.0, 0.47, 0.22, ME3
0.5, 0.52, 0.51, 0.22, 0.5, 0.0, 0.46, 0.37, CYT
0.62, 0.33, 0.49, 0.24, 0.5, 0.0, 0.51, 0.42, CYT
0.51, 0.48, 0.51, 0.19, 0.5, 0.0, 0.51, 0.27, CYT
0.41, 0.42, 0.23, 0.16, 0.5, 0.0, 0.4, 0.22, ME3
0.36, 0.37, 0.63, 0.25, 0.5, 0.0, 0.3, 0.22, CYT
0.28, 0.18, 0.72, 0.26, 0.5, 0.0, 0.49, 0.25, MIT
0.41, 0.49, 0.55, 0.13, 0.5, 0.0, 0.55, 0.22, CYT
0.47, 0.47, 0.5, 0.19, 0.5, 0.0, 0.51, 0.26, NUC
0.31, 0.4, 0.31, 0.17, 0.5, 0.0, 0.52, 0.22, ME3
0.62, 0.42, 0.47, 0.16, 0.5, 0.0, 0.52, 0.22, CYT
