@relation yeast
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.51, 0.4, 0.56, 0.17, 0.5, 0.5, 0.49, 0.22, CYT
0.47, 0.39, 0.5, 0.11, 0.5, 0.0, 0.49, 0.4, CYT
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, MIT
0.53, 0.31, 0.58, 0.39, 0.5, 0.0, 0.47, 0.37, NUC
0.63, 0.53, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, MIT
0.54, 0.52, 0.63, 0.37, 0.5, 0.0, 0.46, 0.22, MIT
0.36, 0.58, 0.35, 0.24, 0.5, 0.0, 0.44, 0.22, ME3
0.36, 0.43, 0.39, 0.12, 0.5, 0.0, 0.49, 0.22, ME3
0.59, 0.67, 0.56, 0.41, 0.5, 0.0, 0.47, 0.22, MIT
0.34, 0.54, 0.5, 0.21, 0.5, 0.0, 0.54, 0.31, CYT
0.48, 0.54, 0.5, 0.17, 0.5, 0.0, 0.53, 0.22, NUC
0.28, 0.37, 0.61, 0.09, 0.5, 0.0, 0.52, 0.55, NUC
0.45, 0.43, 0.51, 0.24, 0.5, 0.0, 0.54, 0.33, CYT
0.67, 0.71, 0.52, 0.65, 0.5, 0.0, 0.53, 0.36, NUC
0.42, 0.51, 0.5, 0.12, 0.5, 0.0, 0.52, 0.46, NUC
0.49, 0.31, 0.49, 0.35, 0.5, 0.0, 0.51, 0.29, NUC
0.49, 0.43, 0.51, 0.13, 0.5, 0.0, 0.47, 0.22, CYT
0.54, 0.38, 0.52, 0.18, 0.5, 0.0, 0.48, 0.22, CYT
0.48, 0.64, 0.61, 0.23, 0.5, 0.0, 0.6, 0.22, CYT
0.59, 0.5, 0.52, 0.28, 0.5, 0.0, 0.55, 0.25, CYT
0.49, 0.46, 0.45, 0.45, 0.5, 0.0, 0.52, 0.22, MIT
0.49, 0.6, 0.43, 0.56, 0.5, 0.0, 0.36, 0.22, MIT
0.5, 0.41, 0.44, 0.5, 0.5, 0.0, 0.42, 0.22, MIT
0.41, 0.45, 0.53, 0.17, 0.5, 0.0, 0.51, 0.25, NUC
0.82, 0.75, 0.54, 0.23, 0.5, 0.0, 0.46, 0.22, EXC
0.38, 0.51, 0.75, 0.17, 0.5, 0.0, 0.55, 0.22, CYT
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.52, 0.22, MIT
0.59, 0.58, 0.56, 0.21, 0.5, 0.0, 0.54, 0.33, NUC
0.36, 0.68, 0.38, 0.08, 0.5, 0.0, 0.53, 0.25, VAC
0.42, 0.32, 0.5, 0.21, 0.5, 0.0, 0.51, 0.22, NUC
0.23, 0.2, 0.53, 0.2, 0.5, 0.0, 0.44, 0.22, NUC
0.45, 0.56, 0.53, 0.32, 0.5, 0.0, 0.57, 0.22, CYT
0.92, 0.61, 0.4, 0.22, 0.5, 0.0, 0.54, 0.22, ME2
0.32, 0.47, 0.55, 0.12, 0.5, 0.0, 0.52, 0.22, CYT
0.34, 0.38, 0.45, 0.19, 0.5, 0.0, 0.51, 0.22, ME2
0.77, 0.87, 0.47, 0.37, 0.5, 0.0, 0.48, 0.22, EXC
0.43, 0.51, 0.48, 0.14, 0.5, 0.0, 0.5, 0.22, CYT
0.35, 0.56, 0.36, 0.3, 0.5, 0.0, 0.53, 0.25, ME3
0.7, 0.69, 0.43, 0.33, 0.5, 0.0, 0.58, 0.22, ME1
0.59, 0.43, 0.52, 0.19, 0.5, 0.0, 0.55, 0.27, CYT
0.48, 0.39, 0.49, 0.18, 0.5, 0.0, 0.51, 0.22, CYT
0.3, 0.5, 0.47, 0.11, 0.5, 0.0, 0.46, 0.22, CYT
0.4, 0.48, 0.5, 0.17, 0.5, 0.0, 0.54, 0.5, CYT
0.21, 0.38, 0.49, 0.16, 0.5, 0.0, 0.51, 0.45, CYT
0.46, 0.57, 0.57, 0.15, 0.5, 0.0, 0.52, 0.26, NUC
0.44, 0.42, 0.62, 0.14, 0.5, 0.0, 0.55, 0.37, NUC
0.32, 0.34, 0.61, 0.17, 0.5, 0.0, 0.52, 0.32, NUC
0.45, 0.54, 0.54, 0.62, 0.5, 0.0, 0.53, 0.22, MIT
0.45, 0.59, 0.53, 0.74, 0.5, 0.0, 0.47, 0.25, MIT
0.47, 0.59, 0.43, 0.13, 0.5, 0.0, 0.56, 0.3, ME3
0.5, 0.45, 0.49, 0.3, 0.5, 0.0, 0.47, 0.4, NUC
0.65, 0.61, 0.39, 0.3, 0.5, 0.0, 0.57, 0.28, ME3
0.57, 0.49, 0.48, 0.16, 0.5, 0.0, 0.51, 0.22, NUC
0.27, 0.56, 0.56, 0.18, 0.5, 0.0, 0.52, 0.22, CYT
0.76, 0.74, 0.56, 0.34, 0.5, 0.0, 0.51, 0.3, ME2
0.72, 0.58, 0.42, 0.28, 0.5, 0.0, 0.48, 0.22, MIT
0.68, 0.58, 0.51, 0.19, 0.5, 0.83, 0.54, 0.22, POX
0.57, 0.44, 0.42, 0.2, 0.5, 0.0, 0.54, 0.22, CYT
0.43, 0.83, 0.55, 0.2, 0.5, 0.0, 0.47, 0.4, NUC
0.37, 0.31, 0.53, 0.16, 0.5, 0.0, 0.53, 0.44, NUC
0.89, 0.52, 0.41, 0.26, 0.5, 0.0, 0.52, 0.31, ME2
0.6, 0.62, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, MIT
0.45, 0.38, 0.64, 0.14, 0.5, 0.0, 0.54, 0.22, MIT
0.6, 0.57, 0.64, 0.52, 0.5, 0.0, 0.47, 0.28, MIT
0.41, 0.52, 0.53, 0.41, 0.5, 0.0, 0.39, 0.33, MIT
0.64, 0.64, 0.56, 0.21, 0.5, 0.0, 0.5, 0.22, MIT
0.58, 0.53, 0.5, 0.53, 0.5, 0.0, 0.47, 0.31, MIT
0.51, 0.48, 0.51, 0.43, 0.5, 0.0, 0.49, 0.22, MIT
0.57, 0.4, 0.48, 0.24, 0.5, 0.0, 0.55, 0.22, CYT
0.41, 0.59, 0.46, 0.19, 0.5, 0.0, 0.36, 0.22, EXC
0.37, 0.41, 0.45, 0.14, 0.5, 0.0, 0.47, 0.22, CYT
0.59, 0.58, 0.39, 0.52, 0.5, 0.0, 0.5, 0.31, CYT
0.47, 0.47, 0.5, 0.15, 0.5, 0.0, 0.5, 0.48, NUC
0.69, 0.62, 0.49, 0.0, 1.0, 0.0, 0.47, 0.22, NUC
0.5, 0.5, 0.54, 0.16, 0.5, 0.0, 0.49, 0.22, POX
0.52, 0.46, 0.51, 0.18, 0.5, 0.0, 0.5, 0.22, CYT
0.37, 0.42, 0.6, 0.13, 0.5, 0.0, 0.51, 0.22, NUC
0.74, 0.89, 0.32, 0.24, 0.5, 0.0, 0.54, 0.32, ME1
0.48, 0.45, 0.59, 0.35, 0.5, 0.0, 0.55, 0.3, MIT
0.41, 0.48, 0.54, 0.24, 0.5, 0.0, 0.37, 0.51, NUC
0.48, 0.42, 0.48, 0.19, 0.5, 0.0, 0.58, 0.22, CYT
0.74, 0.74, 0.51, 0.27, 0.5, 0.0, 0.5, 0.22, EXC
0.4, 0.37, 0.54, 0.13, 0.5, 0.0, 0.48, 0.22, NUC
0.47, 0.61, 0.5, 0.23, 0.5, 0.0, 0.49, 0.22, ME3
0.44, 0.43, 0.34, 0.21, 0.5, 0.0, 0.55, 0.4, ME3
0.37, 0.51, 0.39, 0.18, 0.5, 0.0, 0.51, 0.27, ME3
0.54, 0.53, 0.48, 0.14, 0.5, 0.0, 0.49, 0.33, NUC
0.37, 0.48, 0.5, 0.26, 0.5, 0.0, 0.52, 0.39, NUC
0.49, 0.71, 0.54, 0.13, 0.5, 0.0, 0.58, 0.22, NUC
0.55, 0.63, 0.54, 0.16, 0.5, 0.0, 0.45, 0.27, CYT
0.53, 0.59, 0.48, 0.14, 0.5, 0.0, 0.51, 0.22, CYT
0.42, 0.53, 0.57, 0.17, 0.5, 0.0, 0.49, 0.22, CYT
0.68, 0.39, 0.5, 0.15, 0.5, 0.0, 0.48, 0.37, NUC
0.45, 0.45, 0.52, 0.17, 0.5, 0.0, 0.54, 0.22, CYT
0.48, 0.56, 0.49, 0.32, 0.5, 0.0, 0.5, 0.22, CYT
0.61, 0.55, 0.51, 0.26, 0.5, 0.0, 0.52, 0.22, CYT
0.57, 0.6, 0.54, 0.17, 0.5, 0.0, 0.52, 0.22, MIT
0.38, 0.31, 0.59, 0.19, 0.5, 0.0, 0.46, 0.22, MIT
0.39, 0.16, 0.59, 0.08, 0.5, 0.0, 0.51, 0.27, NUC
0.43, 0.41, 0.51, 0.34, 0.5, 0.0, 0.49, 0.28, NUC
0.43, 0.33, 0.54, 0.37, 0.5, 0.0, 0.38, 0.16, CYT
0.5, 0.56, 0.63, 0.25, 0.5, 0.0, 0.42, 0.22, NUC
0.37, 0.3, 0.51, 0.15, 0.5, 0.0, 0.58, 0.26, NUC
0.72, 0.37, 0.63, 0.38, 0.5, 0.0, 0.4, 0.14, CYT
0.63, 0.64, 0.45, 0.26, 0.5, 0.0, 0.43, 0.22, CYT
0.35, 0.21, 1.0, 0.8, 0.5, 0.0, 0.13, 0.01, CYT
0.35, 0.21, 1.0, 0.8, 0.5, 0.0, 0.13, 0.01, CYT
0.69, 0.54, 0.55, 0.23, 0.5, 0.0, 0.73, 0.22, CYT
0.56, 0.61, 0.52, 0.19, 0.5, 0.0, 0.52, 0.32, NUC
0.56, 0.65, 0.49, 0.56, 0.5, 0.0, 0.49, 0.22, MIT
0.54, 0.64, 0.4, 0.56, 0.5, 0.0, 0.51, 0.22, MIT
0.55, 0.52, 0.44, 0.2, 0.5, 0.0, 0.56, 0.22, ME2
0.54, 0.51, 0.56, 0.15, 0.5, 0.0, 0.54, 0.31, CYT
0.59, 0.55, 0.57, 0.18, 0.5, 0.0, 0.51, 0.22, CYT
0.42, 0.28, 0.33, 0.23, 0.5, 0.0, 0.39, 0.26, ME3
0.49, 0.49, 0.52, 0.18, 0.5, 0.0, 0.51, 0.25, NUC
0.54, 0.59, 0.57, 0.34, 0.5, 0.0, 0.49, 0.22, NUC
0.85, 0.69, 0.34, 0.31, 0.5, 0.0, 0.57, 0.3, ME1
0.47, 0.56, 0.51, 0.2, 0.5, 0.0, 0.52, 0.59, NUC
0.39, 0.45, 0.51, 0.29, 0.5, 0.0, 0.54, 0.22, CYT
0.44, 0.59, 0.54, 0.18, 0.5, 0.0, 0.49, 0.22, NUC
0.73, 0.52, 0.59, 0.25, 0.5, 0.0, 0.51, 0.22, NUC
0.53, 0.25, 0.59, 0.27, 0.5, 0.0, 0.45, 0.26, NUC
0.49, 0.31, 0.43, 0.24, 0.5, 0.0, 0.54, 0.22, ME3
0.32, 0.36, 0.28, 0.38, 0.5, 0.0, 0.5, 0.4, ME3
0.4, 0.65, 0.38, 0.17, 0.5, 0.0, 0.57, 0.22, ME3
0.3, 0.45, 0.55, 0.19, 0.5, 0.0, 0.53, 0.4, CYT
0.58, 0.43, 0.32, 0.11, 0.5, 0.0, 0.49, 0.22, VAC
0.41, 0.56, 0.53, 0.16, 0.5, 0.0, 0.55, 0.26, NUC
0.59, 0.48, 0.49, 0.42, 0.5, 0.0, 0.52, 0.22, CYT
0.55, 0.79, 0.45, 0.25, 0.5, 0.0, 0.51, 0.22, NUC
0.38, 0.42, 0.5, 0.19, 0.5, 0.0, 0.44, 0.22, CYT
0.44, 0.55, 0.51, 0.16, 0.5, 0.0, 0.6, 0.22, CYT
0.77, 0.7, 0.44, 0.29, 0.5, 0.0, 0.56, 0.22, ME1
0.42, 0.37, 0.54, 0.17, 0.5, 0.0, 0.51, 0.22, CYT
0.53, 0.42, 0.53, 0.19, 0.5, 0.0, 0.47, 0.22, CYT
0.34, 0.42, 0.48, 0.19, 0.5, 0.0, 0.46, 0.31, NUC
0.56, 0.49, 0.47, 0.13, 0.5, 0.0, 0.52, 0.22, NUC
0.5, 0.47, 0.45, 0.14, 0.5, 0.0, 0.53, 0.32, ME3
0.36, 0.51, 0.51, 0.17, 0.5, 0.0, 0.52, 0.22, VAC
0.47, 0.41, 0.46, 0.18, 0.5, 0.0, 0.53, 0.22, ME3
0.26, 0.3, 0.37, 0.15, 0.5, 0.0, 0.53, 0.25, ME3
0.47, 0.41, 0.53, 0.27, 0.5, 0.0, 0.47, 0.25, MIT
0.52, 0.65, 0.36, 0.26, 0.5, 0.0, 0.44, 0.22, ME3
0.34, 0.24, 0.51, 0.15, 0.5, 0.0, 0.54, 0.4, NUC
0.47, 0.38, 0.58, 0.19, 0.5, 0.0, 0.57, 0.22, CYT
0.41, 0.45, 0.46, 0.23, 0.5, 0.0, 0.5, 0.7, CYT
0.25, 0.4, 0.52, 0.15, 0.5, 0.0, 0.56, 0.28, NUC
