@relation tae
@attribute Native integer[1,2]
@attribute Instructor integer[1,25]
@attribute Course integer[1,26]
@attribute Semester integer[1,2]
@attribute Size integer[3,66]
@attribute Class {1,2,3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
2, 23, 3, 1, 20, 3
2, 25, 7, 2, 23, 2
2, 5, 2, 2, 37, 1
2, 4, 16, 2, 21, 1
2, 10, 3, 2, 27, 3
1, 22, 3, 2, 58, 3
2, 7, 25, 2, 42, 2
2, 13, 1, 2, 31, 1
2, 1, 8, 2, 18, 2
2, 13, 1, 2, 20, 2
2, 13, 14, 2, 17, 3
2, 9, 6, 2, 7, 3
1, 17, 18, 2, 44, 2
2, 19, 4, 2, 10, 1
2, 3, 2, 2, 26, 1
