@relation tae
@attribute Native integer[1,2]
@attribute Instructor integer[1,25]
@attribute Course integer[1,26]
@attribute Semester integer[1,2]
@attribute Size integer[3,66]
@attribute Class {1,2,3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
1, 23, 3, 1, 19, 3
2, 18, 21, 2, 29, 3
2, 6, 17, 2, 39, 3
2, 25, 7, 2, 27, 2
2, 22, 3, 2, 28, 1
2, 11, 1, 2, 51, 1
2, 22, 3, 2, 46, 2
2, 13, 3, 1, 10, 2
2, 7, 11, 2, 13, 2
2, 22, 3, 2, 28, 1
1, 23, 3, 1, 20, 3
2, 20, 2, 2, 14, 1
2, 20, 2, 2, 45, 3
2, 22, 1, 2, 11, 2
2, 10, 3, 2, 19, 1
