@relation tae
@attribute Native integer[1,2]
@attribute Instructor integer[1,25]
@attribute Course integer[1,26]
@attribute Semester integer[1,2]
@attribute Size integer[3,66]
@attribute Class {1,2,3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
1, 5, 2, 2, 33, 3
2, 7, 11, 2, 55, 3
2, 15, 13, 2, 37, 2
2, 21, 2, 2, 42, 1
2, 9, 5, 2, 19, 3
2, 15, 3, 1, 20, 3
2, 10, 22, 2, 9, 3
2, 25, 7, 2, 27, 2
2, 14, 15, 2, 38, 2
1, 13, 3, 1, 13, 1
2, 4, 16, 2, 21, 1
1, 6, 17, 2, 35, 2
2, 10, 3, 2, 19, 1
2, 12, 8, 2, 24, 2
2, 23, 3, 2, 24, 1
