@relation tae
@attribute Native integer[1,2]
@attribute Instructor integer[1,25]
@attribute Course integer[1,26]
@attribute Semester integer[1,2]
@attribute Size integer[3,66]
@attribute Class {1,2,3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
2, 2, 9, 2, 31, 2
2, 13, 1, 2, 31, 1
2, 7, 11, 2, 55, 3
2, 7, 11, 2, 10, 2
2, 21, 2, 2, 42, 1
2, 5, 2, 2, 48, 1
1, 17, 17, 2, 19, 3
1, 17, 17, 2, 31, 3
1, 11, 16, 2, 22, 2
2, 7, 11, 2, 30, 1
2, 23, 3, 2, 12, 1
1, 10, 3, 2, 21, 3
1, 13, 1, 2, 54, 3
2, 9, 6, 2, 5, 2
2, 22, 1, 2, 42, 2
