@relation tae
@attribute Native integer[1,2]
@attribute Instructor integer[1,25]
@attribute Course integer[1,26]
@attribute Semester integer[1,2]
@attribute Size integer[3,66]
@attribute Class {1,2,3}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
2, 10, 3, 2, 27, 3
2, 22, 3, 2, 46, 2
2, 7, 25, 2, 42, 2
1, 13, 3, 1, 13, 1
1, 23, 3, 1, 19, 3
2, 13, 1, 2, 30, 3
2, 18, 21, 2, 29, 3
2, 15, 13, 2, 37, 2
2, 18, 25, 2, 25, 3
1, 22, 3, 2, 15, 2
2, 8, 7, 2, 23, 1
2, 15, 1, 2, 66, 1
2, 24, 26, 2, 21, 2
2, 7, 11, 2, 30, 1
2, 3, 2, 2, 37, 1
