@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {0,1,2,3,4,5,6,7}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, 0
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, 0
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, 0
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, 0
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, 0
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, 0
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, 0
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, 0
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, 0
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, 0
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, 0
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, 0
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, 0
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, 0
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, 1
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, 1
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, 1
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, 1
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, 1
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, 1
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, 1
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, 1
76.0, 71.0, 48.0, 5.0, 5.0, 71.0, 75.0, 4
77.0, 55.0, 48.0, 5.0, 51.0, 78.0, 74.0, 4
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, 4
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, 4
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, 5
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, 5
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, 7
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, 7
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, 7
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, 7
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, 7
