@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {0,1,2,3,4,5,6,7}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, 0
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, 0
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, 0
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, 0
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, 0
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, 0
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, 0
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, 0
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, 0
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, 0
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, 0
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, 0
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, 0
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, 0
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, 0
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, 1
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, 1
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, 1
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, 1
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, 1
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, 1
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, 1
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, 3
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, 4
59.0, 29.0, 48.0, 5.0, 64.0, 75.0, 77.0, 4
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, 4
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, 5
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, 5
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, 6
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, 7
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, 7
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, 7
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, 7
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, 7
