@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {0,1,2,3,4,5,6,7}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, 0
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, 0
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, 0
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, 0
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, 0
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, 0
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, 0
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, 0
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, 0
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, 0
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, 0
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, 0
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, 0
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, 0
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, 1
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, 1
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, 1
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, 1
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, 1
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, 1
46.0, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, 1
63.0, 75.0, 48.0, 5.0, 64.0, 73.0, 66.0, 1
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, 3
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, 4
88.0, 42.0, 48.0, 5.0, 52.0, 73.0, 75.0, 4
78.0, 44.0, 48.0, 5.0, 45.0, 73.0, 68.0, 4
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, 5
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, 5
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, 6
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, 7
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, 7
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, 7
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, 7
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, 7
