@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {0,1,2,3,4,5,6,7}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, 0
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, 0
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, 0
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, 0
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, 0
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, 0
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, 0
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, 0
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, 0
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, 0
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, 0
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, 0
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, 0
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, 0
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, 0
46.0, 61.0, 48.0, 5.0, 48.0, 86.0, 87.0, 1
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, 1
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, 1
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, 1
63.0, 65.0, 48.0, 5.0, 66.0, 67.0, 71.0, 1
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, 1
68.0, 51.0, 48.0, 5.0, 71.0, 75.0, 78.0, 1
85.0, 53.0, 48.0, 5.0, 53.0, 52.0, 35.0, 2
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, 4
63.0, 51.0, 48.0, 5.0, 64.0, 72.0, 76.0, 4
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, 4
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, 5
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, 5
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, 6
74.0, 49.0, 48.0, 5.0, 42.0, 54.0, 36.0, 7
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, 7
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, 7
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, 7
63.0, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, 7
