@relation ecoli
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Site {0,1,2,3,4,5,6,7}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Site
@data
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, 0
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, 0
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, 0
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, 0
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, 0
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, 0
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, 0
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, 0
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, 0
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, 0
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, 0
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, 0
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, 0
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, 0
55.0, 47.0, 48.0, 5.0, 57.0, 78.0, 8.0, 1
47.0, 55.0, 48.0, 5.0, 58.0, 71.0, 75.0, 1
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, 1
2.0, 46.0, 48.0, 5.0, 57.0, 78.0, 81.0, 1
89.0, 55.0, 48.0, 5.0, 51.0, 72.0, 76.0, 1
58.0, 55.0, 48.0, 5.0, 57.0, 7.0, 74.0, 1
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, 1
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, 1
72.0, 42.0, 48.0, 5.0, 65.0, 77.0, 79.0, 4
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, 4
63.0, 42.0, 48.0, 5.0, 48.0, 77.0, 8.0, 4
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, 5
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, 5
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, 6
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, 7
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, 7
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, 7
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, 7
56.0, 54.0, 48.0, 5.0, 43.0, 37.0, 3.0, 7
